,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Kevin Newman 2B,6,2,3,2,0,1,6,.273,.319,.375,.694,21,13,0.170, 0.93,0.209,-0.039%, 0.01%, 0.05, 2.2,3,2,2B,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
Ke'Bryan Hayes 3B,5,0,1,1,0,0,5,.251,.325,.356,.681,21,11,-0.090, 1.31,0.020,-0.110%,-0.00%, 0.07, -1.2,0,5,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
Michael Chavis 1B,5,0,3,1,0,0,5,.240,.280,.419,.699,12,10,0.140, 1.00,0.182,-0.043%, 0.01%, 0.05, 1.2,10,2,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
Daniel Vogelbach DH,4,1,1,1,1,2,5,.228,.338,.430,.769,20,13,0.023, 0.97,0.090,-0.067%, 0.00%, 0.05, 0.0,,,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
Diego Castillo RF,4,0,1,0,0,1,4,.208,.247,.381,.628,15,10,-0.053, 1.16,0.046,-0.099%,-0.00%, 0.06, -0.5,2,0,2B,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
   Calvin Mitchell PR-RF,1,1,1,0,0,0,1,.202,.234,.326,.560,5,3,0.010, 0.29,0.010,0.000%,0%, 0.02, 0.3,1,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
Ben Gamel LF,4,2,1,0,1,0,5,.249,.335,.384,.719,24,14,-0.018, 0.88,0.048,-0.065%,-0.00%, 0.05, 0.0,0,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
Jake Marisnick CF,5,0,2,2,0,3,5,.243,.282,.405,.687,17,12,0.143, 1.01,0.231,-0.088%, 0.01%, 0.06, 0.8,2,0,2B,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
Oneil Cruz SS,5,1,1,1,0,4,5,.204,.240,.398,.638,18,13,-0.087, 1.12,0.044,-0.131%,-0.00%, 0.06, -0.5,3,4,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
Jason Delay C,4,1,2,0,1,0,5,.323,.364,.419,.783,22,11,0.024, 0.77,0.070,-0.046%, 0.00%, 0.04, 0.4,6,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
Bryse Wilson P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
   Manny Banuelos P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
   Tyler Beede P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
   Duane Underwood Jr. P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
   Wil Crowe P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
   David Bednar P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 8mph from Right to Left, Sunny, No Precipitation.
