,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Josh VanMeter 1B,3,0,0,1,0,0,4,.187,.250,.306,.556,17,11,-0.027, 0.72,0.014,-0.041%,-0.00%, 0.08, -0.7,11,0,SF,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Ben Gamel LF,4,0,0,0,0,3,4,.243,.330,.379,.709,17,11,-0.048, 0.46,0.000,-0.048%,-0.00%, 0.05, -0.8,0,0,,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Ke'Bryan Hayes 3B,3,0,1,0,0,0,3,.252,.328,.360,.688,13,10,-0.015, 0.59,0.020,-0.035%,-0.00%, 0.07, -0.1,1,2,,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
   Diego Castillo PH-3B,1,0,0,0,0,0,1,.208,.248,.381,.628,5,3,0.000, 0.00,0.000,0.000%,0%, 0.00, -0.1,0,0,,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Daniel Vogelbach DH,4,0,0,0,0,0,4,.228,.331,.435,.766,19,12,-0.065, 0.62,0.000,-0.065%,-0.00%, 0.07, -1.0,,,,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Oneil Cruz SS,4,0,0,0,0,0,4,.202,.242,.416,.658,14,9,-0.044, 0.40,0.000,-0.044%,-0.00%, 0.04, -0.8,2,7,,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Kevin Newman 2B,3,0,1,0,0,0,3,.269,.321,.372,.693,9,6,-0.002, 0.46,0.023,-0.025%,0%, 0.05, -0.3,1,4,2B,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
   Tyler Heineman PH,1,0,0,0,0,0,1,.193,.245,.239,.483,2,2,0.000, 0.00,0.000,0.000%,0%, 0.00, -0.1,,,,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Calvin Mitchell RF,3,1,1,0,0,0,3,.198,.231,.326,.556,7,5,-0.023, 0.53,0.018,-0.041%,-0.00%, 0.06, -0.2,4,0,,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Jake Marisnick CF,3,1,2,0,0,1,3,.242,.286,.409,.695,6,5,0.055, 0.60,0.072,-0.017%, 0.00%, 0.06, 0.5,0,0,2·2B,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Jason Delay C,3,0,1,1,0,0,3,.296,.321,.407,.729,7,5,0.003, 0.73,0.033,-0.031%,0%, 0.08, 0.3,5,0,,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Jose Quintana P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
   Chris Stratton P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
   Dillon Peters P,,,,,,,,,,,,,,,,,,,,,0,0,,86° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
