,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Grayson Allen,32:25,4.0,9.0,44.4,2.0,4.0,50.0,0.0,1.0,0.0,1.0,3.0,4.0,3.0,2.0,0.0,1.0,2.0,10.0,-19.0,01/03/2024,LA Clippers,24.0,OKC @ BKN
Chimezie Metu,14:34,3.0,6.0,50.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,7.0,-10.0,01/03/2024,LA Clippers,17.75,OKC @ BKN
Jusuf Nurkic,24:55,3.0,5.0,60.0,0.0,1.0,0.0,3.0,3.0,100.0,1.0,5.0,6.0,1.0,1.0,0.0,1.0,3.0,9.0,-15.0,01/03/2024,LA Clippers,19.5,OKC @ BKN
Bradley Beal,40:59,7.0,20.0,35.0,0.0,6.0,0.0,7.0,7.0,100.0,2.0,3.0,5.0,4.0,1.0,1.0,3.0,5.0,21.0,-7.0,01/03/2024,LA Clippers,35.75,OKC @ BKN
Devin Booker,37:06,11.0,15.0,73.3,5.0,8.0,62.5,8.0,9.0,88.9,0.0,2.0,2.0,6.0,0.0,0.0,6.0,4.0,35.0,-12.0,01/03/2024,LA Clippers,46.0,OKC @ BKN
Keita Bates-Diop,21:03,1.0,3.0,33.3,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,5.0,-2.0,01/03/2024,LA Clippers,12.0,OKC @ BKN
Eric Gordon,27:60,5.0,11.0,45.5,3.0,6.0,50.0,3.0,4.0,75.0,1.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,16.0,3.0,01/03/2024,LA Clippers,26.75,OKC @ BKN
Udoka Azubuike,2:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,01/03/2024,LA Clippers,0.0,OKC @ BKN
Bol Bol,18:54,6.0,7.0,85.7,2.0,2.0,100.0,0.0,0.0,0.0,3.0,2.0,5.0,2.0,1.0,0.0,2.0,2.0,14.0,9.0,01/03/2024,LA Clippers,25.25,OKC @ BKN
Josh Okogie,15:53,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,5.0,9.0,01/03/2024,LA Clippers,11.0,OKC @ BKN
Drew Eubanks,3:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,01/03/2024,LA Clippers,0.0,OKC @ BKN
