,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Grayson Allen,38:57,6.0,15.0,40.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,3.0,2.0,16.0,0.0,01/07/2024,Memphis Grizzlies,27.5,PHX @ LAC
Kevin Durant,36:22,11.0,23.0,47.8,0.0,1.0,0.0,1.0,1.0,100.0,2.0,8.0,10.0,5.0,0.0,1.0,1.0,1.0,23.0,-7.0,01/07/2024,Memphis Grizzlies,44.5,PHX @ LAC
Jusuf Nurkic,32:20,8.0,17.0,47.1,1.0,2.0,50.0,1.0,3.0,33.3,6.0,13.0,19.0,5.0,0.0,1.0,2.0,4.0,18.0,2.0,01/07/2024,Memphis Grizzlies,50.75,PHX @ LAC
Bradley Beal,37:09,5.0,12.0,41.7,0.0,1.0,0.0,2.0,4.0,50.0,3.0,3.0,6.0,5.0,0.0,0.0,1.0,3.0,12.0,-8.0,01/07/2024,Memphis Grizzlies,26.5,PHX @ LAC
Devin Booker,37:15,9.0,17.0,52.9,2.0,6.0,33.3,4.0,5.0,80.0,0.0,0.0,0.0,8.0,2.0,1.0,2.0,4.0,24.0,11.0,01/07/2024,Memphis Grizzlies,42.0,PHX @ LAC
Josh Okogie,13:36,2.0,5.0,40.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,6.0,12.0,01/07/2024,Memphis Grizzlies,14.25,PHX @ LAC
Drew Eubanks,13:21,2.0,3.0,66.7,0.0,0.0,0.0,4.0,5.0,80.0,3.0,4.0,7.0,0.0,0.0,0.0,2.0,1.0,8.0,0.0,01/07/2024,Memphis Grizzlies,15.75,PHX @ LAC
Chimezie Metu,12:13,2.0,7.0,28.6,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,4.0,-8.0,01/07/2024,Memphis Grizzlies,6.75,PHX @ LAC
Keita Bates-Diop,14:18,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,-24.0,01/07/2024,Memphis Grizzlies,8.75,PHX @ LAC
Saben Lee,4:29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-8.0,01/07/2024,Memphis Grizzlies,4.25,PHX @ LAC
