IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
 6 ,5,3,3,1,4,2,5.40,24,88,55,34,4,17,9,8,4,0,53,,,-0.073, 0.99,-0.01%, 0.33, 0.1,75° F, Wind 0mph, In Dome.
 0.1,4,3,3,0,0,0,4.32,5,16,12,7,2,3,2,3,1,0,,0,0,-0.153, 0.69,-0.03%, 0.23, -3.0,75° F, Wind 0mph, In Dome.
 0.2,0,0,0,0,1,0,4.21,2,8,7,4,2,1,1,0,0,0,,1,0,0.007, 0.13, 0.00%, 0.04, 0.5,75° F, Wind 0mph, In Dome.
 1 ,0,0,0,1,0,0,5.27,4,14,9,5,1,3,0,3,0,0,,0,0,0.008, 0.14, 0.00%, 0.05, 0.5,75° F, Wind 0mph, In Dome.
 1 ,1,0,0,0,1,0,1.15,4,19,13,10,1,2,2,1,1,0,,0,0,0.004, 0.07, 0.00%, 0.03, 0.5,75° F, Wind 0mph, In Dome.
