,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Jon Gray, L (7-5)", 6.1,5,4,4,4,8,1,3.62,28,99,65,29,15,21,7,9,3,0,51,,,-0.293, 1.30,-0.03%, 0.26, -0.8,77° F, Wind 0mph, Sunny, No Precipitation.
Brett Martin, 0.2,0,0,0,0,1,0,3.78,2,7,4,2,1,1,1,0,0,0,,0,0,0.013, 0.27, 0.00%, 0.05, 0.3,77° F, Wind 0mph, Sunny, No Precipitation.
Jonathan Hernandez, 1 ,1,0,0,0,0,0,0.00,4,11,8,5,1,2,3,1,1,0,,0,0,0.014, 0.18, 0.00%, 0.04, 0.5,77° F, Wind 0mph, Sunny, No Precipitation.
