,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
Martin Perez, 5 ,3,1,1,4,9,1,2.68,22,102,59,32,7,20,3,6,1,0,62,,,0.160, 0.95, 0.05%, 0.52, 1.6,75° F, Wind 0mph, In Dome.
Garrett Richards, 1.1,2,2,2,0,2,0,3.55,6,24,17,6,3,8,1,3,3,0,,0,0,0.002, 0.50, 0.00%, 0.27, 0.1,75° F, Wind 0mph, In Dome.
"Matt Moore, H (4)", 0.2,1,0,0,1,1,0,1.77,4,14,8,5,1,2,0,2,1,0,,2,2,-0.023, 1.77,-0.01%, 0.96, -1.1,75° F, Wind 0mph, In Dome.
"Dennis Santana, H (16), L (3-5)", 0.1,3,3,3,0,1,0,4.29,5,19,12,6,0,6,0,3,2,0,,0,0,-0.344, 2.65,-0.11%, 1.44, -2.1,75° F, Wind 0mph, In Dome.
"Brock Burke, BS (2)", 0.2,1,0,0,0,1,0,1.17,3,11,7,5,1,1,0,2,1,0,,3,2,-0.209, 3.15,-0.07%, 1.71, -0.4,75° F, Wind 0mph, In Dome.
Josh Sborz, 1 ,1,0,0,0,1,0,7.94,4,16,12,8,1,3,1,2,0,0,,0,0,0.040, 0.81, 0.01%, 0.44, 0.5,75° F, Wind 0mph, In Dome.
