,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
"Jon Gray, W (6-4)", 7 ,1,0,0,0,9,0,3.71,22,95,67,33,16,18,6,7,1,0,84,,,0.192, 0.40, 0.05%, 0.18, 3.6,75° F, Wind 0mph, In Dome.
Matt Bush, 1 ,0,0,0,0,2,0,3.64,3,8,7,3,2,2,1,0,0,0,,0,0,0.013, 0.16, 0.00%, 0.07, 0.5,75° F, Wind 0mph, In Dome.
Jose Leclerc, 0.2,3,2,2,1,1,2,5.91,6,20,10,5,2,3,1,3,1,0,,0,0,-0.036, 0.21,-0.01%, 0.09, -2.1,75° F, Wind 0mph, In Dome.
"Garrett Richards, S (1)", 0.1,0,0,0,0,0,0,3.13,1,1,1,1,0,0,0,1,0,0,,2,0,0.042, 1.34, 0.01%, 0.59, 0.6,75° F, Wind 0mph, In Dome.
