,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Yu Darvish, 7 ,6,2,2,1,11,0,3.24,28,106,78,44,14,20,8,8,4,0,67,,,0.172, 1.30, 0.09%, 1.12, 1.5,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
"Luis Garcia, H (17)", 1 ,0,0,0,1,1,0,3.32,3,14,9,6,3,0,1,0,0,0,,0,0,0.141, 2.56, 0.07%, 2.20, 0.5,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
"Taylor Rogers, BS (7), L (1-5)", 0.2,3,2,2,0,1,0,4.35,5,17,13,8,2,3,2,2,1,0,,0,0,-0.800, 5.00,-0.41%, 4.31, -1.8,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
