IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
 6 ,4,1,1,2,8,1,3.50,24,94,62,30,16,16,4,10,3,0,66,,,0.155, 1.31, 0.09%, 1.25, 1.8,72° F, Wind 7mph in unknown direction, Cloudy, No Precipitation.
 0.1,1,2,2,2,1,0,4.33,4,17,6,2,2,2,0,1,1,0,,0,0,-0.097, 1.42,-0.06%, 1.36, -1.1,72° F, Wind 7mph in unknown direction, Cloudy, No Precipitation.
 0.1,0,0,0,2,0,0,3.58,3,16,6,3,1,2,0,1,0,0,,3,2,-0.110, 1.97,-0.06%, 1.89, -1.2,72° F, Wind 7mph in unknown direction, Cloudy, No Precipitation.
 2 ,1,0,0,0,2,0,3.52,8,24,19,11,3,5,3,3,0,0,,3,0,0.059, 0.43, 0.03%, 0.41, 1.5,72° F, Wind 7mph in unknown direction, Cloudy, No Precipitation.
 0.1,0,0,0,0,0,0,3.62,1,2,1,1,0,0,1,0,0,0,,1,0,0.007, 0.26, 0.00%, 0.25, 0.2,72° F, Wind 7mph in unknown direction, Cloudy, No Precipitation.
