,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
Blake Snell, 3.2,4,5,5,6,5,0,5.22,21,99,53,29,11,13,2,8,5,0,32,,,-0.305, 1.15,-0.19%, 1.20, -3.5,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Tayler Scott, 1.1,1,0,0,1,1,0,6.75,5,24,15,9,0,6,3,0,0,0,,3,0,0.107, 1.21, 0.07%, 1.27, 1.4,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
"Nabil Crismatt, L (5-2)", 0.2,3,3,3,1,1,0,2.76,6,29,18,8,2,8,1,3,3,0,,0,0,-0.250, 1.28,-0.16%, 1.35, -1.9,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Luis Garcia, 1.1,1,0,0,1,1,0,3.60,6,25,15,12,1,2,4,0,0,0,,2,1,-0.037, 0.44,-0.02%, 0.46, 0.0,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Tim Hill, 1 ,0,0,0,0,2,0,4.32,3,19,15,8,2,5,0,1,0,0,,0,0,0.008, 0.11, 0.01%, 0.12, 0.6,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
