,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Saddiq Bey,36:53,5.0,19.0,26.3,3.0,13.0,23.1,2.0,2.0,100.0,0.0,7.0,7.0,3.0,1.0,0.0,2.0,1.0,15.0,-9.0,12/21/2021,New York Knicks,30.75
Hamidou Diallo,33:43,5.0,13.0,38.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,5.0,0.0,2.0,3.0,10.0,-5.0,12/21/2021,New York Knicks,28.0
Isaiah Stewart,31:21,3.0,9.0,33.3,0.0,0.0,0.0,3.0,5.0,60.0,5.0,6.0,11.0,1.0,1.0,1.0,1.0,3.0,9.0,-14.0,12/21/2021,New York Knicks,27.75
Cade Cunningham,32:55,2.0,13.0,15.4,0.0,2.0,0.0,3.0,3.0,100.0,0.0,9.0,9.0,9.0,0.0,1.0,5.0,2.0,7.0,-18.0,12/21/2021,New York Knicks,31.25
Cory Joseph,24:48,6.0,8.0,75.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,4.0,15.0,-5.0,12/21/2021,New York Knicks,19.5
Frank Jackson,19:39,1.0,5.0,20.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,3.0,-4.0,12/21/2021,New York Knicks,8.75
Saben Lee,24:40,7.0,15.0,46.7,1.0,7.0,14.3,1.0,1.0,100.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,16.0,-12.0,12/21/2021,New York Knicks,30.75
Trey Lyles,16:39,4.0,9.0,44.4,1.0,4.0,25.0,4.0,4.0,100.0,1.0,4.0,5.0,1.0,0.0,1.0,0.0,1.0,13.0,0.0,12/21/2021,New York Knicks,23.25
Luka Garza,4:17,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,12/21/2021,New York Knicks,0.0
Rodney McGruder,15:05,1.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,12/21/2021,New York Knicks,8.0
