,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
 Jonathan Taylor ,1811,332,18,14,5,83,107,32.2,3
 Nick Chubb ,1259,228,8,12,2,70,61,26.8,2
 Joe Mixon ,1205,292,13,6,0,32,60,20.6,1
 Najee Harris ,1200,307,7,6,0,37,62,20.2,0
 Dalvin Cook ,1159,249,6,9,1,66,57,22.9,3
 Antonio Gibson ,1037,258,7,4,0,27,65,25.2,5
 Ezekiel Elliott ,1002,237,10,3,1,47,55,23.2,1
 Elijah Mitchell ,963,207,5,6,0,39,47,22.7,0
 Derrick Henry ,937,219,10,3,2,76,49,22.4,1
 Damien Harris ,929,202,15,8,1,64,55,27.2,2
 Melvin Gordon ,918,203,8,3,2,70,48,23.6,3
 Austin Ekeler ,911,206,12,3,0,28,53,25.7,0
 Javonte Williams ,903,203,4,6,1,49,52,25.6,2
 Alvin Kamara ,898,240,4,3,0,30,42,17.5,0
 Josh Jacobs ,872,217,9,2,0,28,45,20.7,2
 Devin Singletary ,870,188,7,6,2,46,44,23.4,2
 David Montgomery ,846,225,7,5,1,41,55,24.4,2
 Sony Michel ,845,208,4,2,0,39,49,23.6,1
 Leonard Fournette ,812,180,8,5,1,47,45,25,0
 AJ Dillon ,803,187,5,2,0,36,50,26.7,1
 Aaron Jones ,799,171,4,5,1,57,37,21.6,1
 Jalen Hurts ,784,139,10,7,0,31,56,40.3,4
 Lamar Jackson ,767,133,2,5,0,31,48,36.1,3
 James Robinson ,767,164,8,4,1,58,41,25,2
 Josh Allen ,763,122,6,9,0,34,54,44.3,5
