,INT,INT TD,INT Yds,Lng
 Trevon Diggs ,11,2,142,59
 J.C. Jackson ,8,1,92,88
 Amani Oruwariye ,6,0,73,50
 Kevin Byard ,5,1,66,24
 Quandre Diggs ,5,0,68,29
 Rasul Douglas ,5,2,105,55
 Xavien Howard ,5,1,54,37
 Micah Hyde ,5,1,59,26
 Xavier McKinney ,5,1,64,41
 Jordan Poyer ,5,0,87,26
 Justin Simmons ,5,0,76,35
 James Bradberry ,4,0,19,14
 Kyle Dugger ,4,0,100,37
 Darius Leonard ,4,0,12,7
 Bobby McCain ,4,1,63,30
 Kenny Moore II ,4,0,78,32
 Byron Murphy ,4,1,49,29
 Adrian Phillips ,4,1,39,26
 Jalen Ramsey ,4,0,41,25
 Taylor Rapp ,4,0,31,18
 Pat Surtain II ,4,1,70,70
 Logan Wilson ,4,0,31,18
 Paulson Adebo ,3,0,50,33
 Anthony Averett ,3,0,21,21
 Budda Baker ,3,0,101,77
