,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
 Cooper Kupp ,145,1947,16,30,9,59,89,61.4,0,846,192
 Davante Adams ,123,1553,11,19,4,59,84,68.3,0,613,169
 Tyreek Hill ,111,1239,9,13,3,75,75,67.6,2,444,159
 Justin Jefferson ,108,1616,10,27,5,56,75,69.4,1,482,170
 Mark Andrews ,107,1361,9,20,2,43,75,70.1,1,458,158
 Diontae Johnson ,107,1161,8,14,4,50,59,55.1,2,527,173
 Keenan Allen ,106,1138,6,12,2,42,66,62.3,1,337,158
 Jaylen Waddle ,104,1015,6,8,2,57,59,56.7,1,420,140
 Stefon Diggs ,103,1225,10,12,4,61,66,64.1,1,326,164
 Hunter Renfrow ,103,1038,9,10,1,54,51,49.5,1,452,129
 Chris Godwin ,98,1103,5,15,1,44,55,56.1,2,586,127
 D.J. Moore ,93,1157,4,16,1,64,60,64.5,1,426,164
 Travis Kelce ,92,1125,9,13,2,69,63,68.5,1,564,134
 Marquise Brown ,91,1008,6,15,3,49,41,45,3,388,147
 Brandin Cooks ,90,1037,6,12,5,52,46,51.1,0,343,134
 Amon-Ra St. Brown ,90,912,5,11,0,37,48,53.3,0,424,121
 Michael Pittman ,88,1082,6,12,3,57,55,62.5,1,348,130
 Jakobi Meyers ,83,866,2,12,0,39,42,50.6,1,222,128
 Cole Beasley ,82,693,1,5,0,29,34,41.5,1,305,113
 Ja'Marr Chase ,81,1455,13,22,8,82,56,69.1,2,651,128
 Darnell Mooney ,81,1055,4,14,3,64,49,60.5,0,381,141
 CeeDee Lamb ,79,1102,6,20,2,49,54,68.4,0,441,121
 Dalton Schultz ,78,808,8,6,0,32,43,55.1,0,348,106
 Christian Kirk ,77,982,5,16,4,50,44,57.1,0,243,103
 Terry McLaurin ,77,1053,5,15,3,46,47,61,0,317,130
