Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
48,1,48,0,1,1,48,0,0
22.2,6,133,1,2,1,61,4,0
16.5,2,33,0,1,0,26,5,0
16,1,16,0,0,0,16,1,0
15.7,3,47,0,1,0,22,2,0
13.8,26,360,0,6,1,42,24,1
13.6,5,68,0,1,0,37,5,0
13.4,15,201,0,1,0,28,25,0
12.5,6,75,0,1,0,28,2,0
12.4,25,309,1,4,1,97,2,1
12.1,13,157,0,3,0,31,5,1
12,2,24,0,0,0,15,2,0
12,2,24,0,0,0,13,3,0
12,3,36,0,0,0,17,2,0
11.9,10,119,0,1,0,34,5,0
11.9,26,309,0,4,0,27,10,0
11.2,21,236,0,2,1,48,15,0
11,3,33,0,1,0,21,1,0
10.3,3,31,0,0,0,15,4,0
10.1,30,303,0,3,1,41,20,3
10.1,29,293,0,2,1,55,20,2
10,2,20,0,0,0,13,1,0
9.9,14,139,0,1,0,21,9,0
9.7,14,136,0,1,1,48,11,0
9.7,3,29,0,0,0,14,0,0
