Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Max Fried,ATL,11,11,0,0,69.0,58,21,61,12,5,5,2,0,0,0,2.74,1.01
Kyle Wright,ATL,10,10,0,0,59.2,41,16,66,23,3,5,3,0,0,0,2.41,1.07
Ian Anderson,ATL,10,10,0,0,53.2,51,28,45,24,8,4,3,0,0,0,4.7,1.4
Charlie Morton,ATL,10,10,0,0,49.1,52,30,46,22,6,3,3,0,0,0,5.47,1.5
Spencer Strider,ATL,12,1,0,0,28.2,18,11,44,13,1,1,2,0,1,2,3.45,1.08
A.J. Minter,ATL,24,0,0,0,23.0,14,3,34,4,0,1,0,0,0,12,1.17,0.78
Kenley Jansen,ATL,22,0,0,0,22.2,14,9,32,8,1,3,0,13,3,0,3.57,0.97
Collin McHugh,ATL,19,0,0,0,21.0,20,9,21,5,1,0,1,0,2,4,3.86,1.19
Will Smith,ATL,21,0,0,0,19.1,14,8,18,10,4,0,1,2,2,5,3.72,1.24
Bryce Elder,ATL,4,4,0,0,19.0,18,10,12,14,3,1,3,0,0,0,4.74,1.68
Jackson Stephens,ATL,12,0,0,0,18.0,15,5,19,5,2,1,2,1,1,1,2.5,1.11
Tucker Davidson,ATL,4,3,0,0,15.1,15,11,10,13,0,1,2,0,0,0,6.46,1.83
Jesse Chavez,ATL,13,1,0,0,14.1,20,6,19,2,1,0,1,0,0,0,3.77,1.53
Darren O'Day,ATL,15,0,0,0,12.2,11,6,14,5,2,1,0,0,1,3,4.26,1.26
Tyler Matzek,ATL,13,0,0,0,10.2,6,6,10,9,1,0,1,0,0,6,5.06,1.41
Tyler Thornburg,ATL,9,0,0,0,9.1,12,4,10,5,0,0,0,0,0,0,3.86,1.82
Dylan Lee,ATL,5,0,0,0,7.1,4,1,6,2,0,0,0,0,0,0,1.23,0.82
Huascar Ynoa,ATL,2,2,0,0,6.2,11,10,8,6,2,0,2,0,0,0,13.5,2.55
Sean Newcomb,ATL,3,0,0,0,5.0,7,4,4,4,1,0,0,0,0,0,7.2,2.2
Kyle Muller,ATL,1,1,0,0,2.2,4,7,3,6,0,0,1,0,0,0,23.63,3.75
William Woods,ATL,2,0,0,0,2.0,2,0,2,1,0,0,0,0,0,0,0.0,1.5
Jesus Cruz,ATL,2,0,0,0,2.0,3,1,1,1,0,0,0,0,0,0,4.5,2.0
