Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Corbin Burnes,MIL,11,11,0,0,68.1,50,19,84,13,9,3,3,0,0,0,2.5,0.92
Adrian Houser,MIL,10,10,0,0,51.1,49,20,41,23,3,3,5,0,0,0,3.51,1.4
Eric Lauer,MIL,9,9,0,0,50.2,40,14,61,15,8,5,1,0,0,0,2.49,1.09
Brandon Woodruff,MIL,9,9,0,0,43.2,41,23,53,13,7,5,3,0,0,0,4.74,1.24
Aaron Ashby,MIL,11,5,0,0,40.0,31,12,51,22,3,1,3,1,0,1,2.7,1.33
Freddy Peralta,MIL,8,8,0,0,38.2,33,19,50,13,1,3,2,0,0,0,4.42,1.19
Hoby Milner,MIL,23,0,0,0,21.1,19,7,15,5,1,2,1,0,0,1,2.95,1.13
Devin Williams,MIL,22,0,0,0,20.0,14,7,35,13,0,2,0,4,0,12,3.15,1.35
Brent Suter,MIL,17,0,0,0,20.0,23,12,12,9,2,1,0,0,0,1,5.4,1.6
Brad Boxberger,MIL,20,0,0,0,19.1,15,6,18,5,2,1,1,0,4,11,2.79,1.03
Trevor Gott,MIL,20,0,0,0,19.0,16,7,20,3,2,1,0,0,1,7,3.32,1.0
Josh Hader,MIL,18,0,0,0,16.2,4,0,26,6,0,0,0,18,0,0,0.0,0.6
Jandel Gustave,MIL,12,0,0,0,13.0,13,8,15,5,3,0,0,0,0,1,5.54,1.38
Luis Perdomo,MIL,7,0,0,0,10.1,9,2,3,2,1,1,0,0,0,1,1.74,1.06
Jake Cousins,MIL,8,0,0,0,8.0,8,4,13,5,1,2,1,0,1,0,4.5,1.63
Jose Urena,MIL,4,0,0,0,7.2,7,3,3,5,1,0,0,0,0,0,3.52,1.57
Jason Alexander,MIL,1,1,0,0,7.0,7,2,3,3,0,0,0,0,0,0,2.57,1.43
Miguel Sanchez,MIL,5,0,0,0,6.2,4,1,5,3,0,1,1,0,0,0,1.35,1.05
Trevor Kelley,MIL,6,0,0,0,5.2,10,6,6,1,3,1,0,0,1,1,9.53,1.94
Ethan Small,MIL,1,1,0,0,2.2,4,2,4,4,0,0,0,0,0,0,6.75,3.0
J.C. Mejia,MIL,2,0,0,0,2.1,5,6,1,5,0,0,0,0,0,0,23.14,4.29
Peter Strzelecki,MIL,1,0,0,0,2.0,2,1,3,2,0,1,0,0,0,0,4.5,2.0
Luke Barker,MIL,1,0,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
