Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Frankie Montas,OAK,11,11,0,0,64.2,49,23,71,15,7,2,5,0,0,0,3.2,0.99
Paul Blackburn,OAK,10,10,0,0,54.1,41,13,41,12,3,5,1,0,0,0,2.15,0.98
Cole Irvin,OAK,8,8,0,0,45.2,45,15,28,11,5,2,2,0,0,0,2.96,1.23
Daulton Jefferies,OAK,8,8,0,0,39.1,46,25,28,8,4,1,7,0,0,0,5.72,1.37
James Kaprielian,OAK,7,7,0,0,32.2,31,22,22,13,7,0,3,0,0,0,6.06,1.35
Domingo Acevedo,OAK,25,0,0,0,24.2,20,10,20,8,4,0,1,0,3,6,3.65,1.14
Zach Logue,OAK,6,5,0,0,24.2,29,15,21,10,7,2,4,0,0,0,5.47,1.58
Zach Jackson,OAK,23,0,0,0,22.0,16,9,29,17,0,1,1,1,1,9,3.68,1.5
A.J. Puk,OAK,17,0,0,0,21.0,17,3,19,5,1,1,0,0,0,4,1.29,1.05
Dany Jimenez,OAK,21,0,0,0,20.2,15,9,22,10,0,2,3,10,1,2,3.92,1.21
Sam Moll,OAK,21,0,0,0,18.0,10,3,24,10,1,2,0,0,0,5,1.5,1.11
Adam Kolarek,OAK,15,0,0,0,17.2,20,9,9,8,1,0,1,0,0,0,4.58,1.58
Jacob Lemoine,OAK,9,0,0,0,16.1,18,14,13,7,4,0,0,0,0,0,7.71,1.53
Justin Grimm,OAK,15,0,0,0,15.1,18,7,11,7,1,0,0,0,0,3,4.11,1.63
Adam Oller,OAK,4,4,0,0,14.2,21,20,11,11,6,0,3,0,0,0,12.27,2.18
Lou Trivino,OAK,18,0,0,0,12.1,14,10,20,7,1,1,3,2,1,1,7.3,1.7
Kirby Snead,OAK,14,0,0,0,11.1,20,11,8,7,1,0,0,0,1,4,8.74,2.38
Sam Selman,OAK,4,0,0,0,5.1,2,0,7,2,0,0,0,0,1,0,0.0,0.75
Adrian Martinez,OAK,1,1,0,0,5.1,4,0,3,0,0,1,0,0,0,0,0.0,0.75
Austin Pruitt,OAK,2,0,0,0,4.2,4,0,2,0,0,0,0,0,0,0,0.0,0.86
Ryan Castellani,OAK,3,0,0,0,2.2,2,0,1,0,0,0,0,0,0,1,0.0,0.75
Parker Markel,OAK,2,0,0,0,1.1,1,0,2,3,0,0,0,0,0,0,0.0,3.0
Domingo Tapia,OAK,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
