Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Alek Manoah,TOR,10,10,0,0,63.2,48,14,57,10,5,6,1,0,0,0,1.98,0.91
Kevin Gausman,TOR,10,10,0,0,61.0,59,17,70,6,2,5,3,0,0,0,2.51,1.07
Jose Berrios,TOR,10,10,0,0,49.2,61,31,36,14,9,3,2,0,0,0,5.62,1.51
Yusei Kikuchi,TOR,10,10,0,0,46.0,39,20,50,24,7,2,2,0,0,0,3.91,1.37
Ross Stripling,TOR,13,5,0,0,32.0,33,15,29,8,3,1,1,1,0,0,4.22,1.28
Hyun Jin Ryu,TOR,6,6,0,0,27.0,31,16,16,4,5,2,0,0,0,0,5.33,1.3
Adam Cimber,TOR,25,0,0,0,22.2,14,5,17,4,2,6,2,3,3,9,1.99,0.79
Trevor Richards,TOR,23,0,0,0,22.0,21,13,27,11,6,2,0,0,0,6,5.32,1.45
Yimi Garcia,TOR,22,0,0,0,21.0,15,7,18,5,2,0,3,0,2,11,3.0,0.95
Jordan Romano,TOR,22,0,0,0,20.1,17,6,25,7,2,1,2,16,2,1,2.66,1.18
David Phelps,TOR,22,0,0,0,20.0,13,5,18,10,0,0,1,1,1,5,2.25,1.15
Trent Thornton,TOR,11,0,0,0,16.1,12,6,12,9,0,0,2,0,0,0,3.31,1.29
Julian Merryweather,TOR,16,0,0,0,14.2,18,11,14,2,2,0,2,0,1,1,6.75,1.36
Tim Mayza,TOR,15,0,0,0,13.0,11,3,13,2,1,2,0,0,1,7,2.08,1.0
Ryan Borucki,TOR,11,0,0,0,6.1,7,7,8,5,2,0,0,0,0,2,9.95,1.89
Andrew Vasquez,TOR,7,0,0,0,5.1,5,5,6,3,1,0,0,0,0,0,8.44,1.5
Casey Lawrence,TOR,2,0,0,0,3.1,4,1,0,1,0,0,0,0,0,0,2.7,1.5
Tayler Saucedo,TOR,4,0,0,0,2.2,6,4,0,1,3,0,0,0,0,0,13.5,2.63
Anthony Kay,TOR,1,0,0,0,2.0,2,1,3,1,0,0,0,0,0,0,4.5,1.5
Jeremy Beasley,TOR,1,0,0,0,1.2,1,2,3,1,1,0,0,0,0,0,10.8,1.2
Bowden Francis,TOR,1,0,0,0,0.2,1,0,1,0,0,0,0,0,0,0,0.0,1.5
