Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Gerrit Cole,NYY,11,11,0,0,64.2,47,20,81,15,6,5,1,0,0,0,2.78,0.96
Nestor Cortes,NYY,10,10,0,0,60.0,38,10,68,14,4,5,1,0,0,0,1.5,0.87
Jameson Taillon,NYY,10,10,0,0,58.2,48,15,44,5,4,6,1,0,0,0,2.3,0.9
Jordan Montgomery,NYY,10,10,0,0,53.1,45,18,41,9,6,1,1,0,0,0,3.04,1.01
Luis Severino,NYY,9,9,0,0,48.0,40,18,51,13,7,3,1,0,0,0,3.38,1.1
Michael King,NYY,15,0,0,0,29.0,25,10,38,6,2,2,1,1,2,6,3.1,1.07
Clay Holmes,NYY,24,0,0,0,25.2,15,1,27,3,0,4,0,7,0,7,0.35,0.7
Wandy Peralta,NYY,15,0,0,0,17.1,13,4,11,6,0,1,0,1,1,2,2.08,1.1
Jonathan Loaisiga,NYY,18,0,0,0,16.2,16,13,18,10,3,1,2,0,1,6,7.02,1.56
Chad Green,NYY,14,0,0,0,15.0,13,5,16,5,1,1,1,1,3,3,3.0,1.2
Miguel Castro,NYY,19,0,0,0,14.2,12,5,15,9,1,2,0,0,0,6,3.07,1.43
Clarke Schmidt,NYY,8,0,0,0,14.2,8,2,12,6,1,3,2,0,0,0,1.23,0.95
Aroldis Chapman,NYY,17,0,0,0,14.0,13,6,15,10,2,0,2,9,0,0,3.86,1.64
Lucas Luetge,NYY,17,0,0,0,12.1,15,8,14,5,1,1,2,0,0,4,5.84,1.62
Ron Marinaccio,NYY,7,0,0,0,7.1,6,5,11,4,0,0,0,0,0,1,6.14,1.36
JP Sears,NYY,3,1,0,0,7.0,5,0,7,3,0,2,0,0,0,0,0.0,1.14
Luis Gil,NYY,1,1,0,0,4.0,5,4,5,2,0,0,0,0,0,0,9.0,1.75
David McKay,NYY,2,0,0,0,2.0,1,0,1,2,0,0,0,0,0,0,0.0,1.5
Manny Banuelos,NYY,1,0,0,0,2.0,1,0,1,0,0,0,0,0,0,0,0.0,0.5
