Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Nathan Eovaldi,BOS,11,11,1,0,63.1,59,24,67,10,16,3,2,0,0,0,3.41,1.09
Nick Pivetta,BOS,10,10,1,0,54.2,45,24,51,19,6,4,4,0,0,0,3.95,1.17
Garrett Whitlock,BOS,12,8,0,0,44.2,38,15,44,11,5,2,1,1,1,0,3.02,1.1
Michael Wacha,BOS,8,8,0,0,40.2,27,11,27,14,4,3,1,0,0,0,2.43,1.01
Rich Hill,BOS,9,9,0,0,39.0,39,21,29,11,6,1,3,0,0,0,4.85,1.28
Tanner Houck,BOS,12,4,0,0,37.2,30,16,33,15,2,3,3,0,0,1,3.82,1.19
Austin Davis,BOS,21,1,0,0,21.1,17,4,23,10,2,1,1,0,1,2,1.69,1.27
Tyler Danish,BOS,14,0,0,0,19.2,16,8,20,3,3,1,0,0,0,0,3.66,0.97
Ryan Brasier,BOS,21,0,0,0,18.1,22,11,19,3,5,0,2,0,1,4,5.4,1.36
Jake Diekman,BOS,22,0,0,0,18.0,15,7,25,13,3,1,0,1,3,9,3.5,1.56
Hirokazu Sawamura,BOS,19,0,0,0,17.0,14,6,14,6,1,0,1,0,0,1,3.18,1.18
Matt Barnes,BOS,20,0,0,0,17.0,17,15,14,12,2,0,3,2,1,0,7.94,1.71
Hansel Robles,BOS,16,0,0,0,17.0,12,5,11,6,3,1,1,2,3,6,2.65,1.06
Matt Strahm,BOS,19,0,0,0,15.0,13,7,17,4,0,2,2,1,1,4,4.2,1.13
John Schreiber,BOS,14,0,0,0,14.1,7,2,15,2,1,2,0,1,0,5,1.26,0.63
Phillips Valdez,BOS,10,0,0,0,12.1,7,8,13,5,0,0,1,0,0,0,5.84,0.97
Kutter Crawford,BOS,8,0,0,0,10.2,15,10,14,8,2,1,1,0,0,0,8.44,2.16
Josh Winckowski,BOS,1,1,0,0,3.0,6,4,4,3,1,0,1,0,0,0,12.0,3.0
