Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Merrill Kelly,ARI,11,11,0,0,59.0,58,24,49,24,3,4,3,0,0,0,3.66,1.39
Madison Bumgarner,ARI,11,11,0,0,54.1,47,20,37,18,9,2,4,0,0,0,3.31,1.2
Zac Gallen,ARI,9,9,0,0,50.1,34,13,49,12,3,4,0,0,0,0,2.32,0.91
Zach Davies,ARI,10,10,0,0,48.1,46,26,37,19,8,2,3,0,0,0,4.84,1.34
Humberto Castellanos,ARI,11,9,0,0,44.1,50,28,32,12,7,3,2,0,0,0,5.68,1.4
Noe Ramirez,ARI,25,0,0,0,23.2,18,10,21,8,3,1,1,0,0,10,3.8,1.1
Joe Mantiply,ARI,24,0,0,0,21.0,17,1,18,1,0,1,0,2,1,6,0.43,0.86
Caleb Smith,ARI,15,1,0,0,21.0,18,14,20,15,7,0,1,0,0,1,6.0,1.57
Ian Kennedy,ARI,22,0,0,0,20.1,22,8,16,9,3,3,3,3,2,7,3.54,1.52
Mark Melancon,ARI,21,0,0,0,18.1,26,12,11,5,1,1,5,11,1,0,5.89,1.69
J.B. Wendelken,ARI,19,0,0,0,18.0,19,12,10,8,3,1,1,0,0,1,6.0,1.5
Kyle Nelson,ARI,17,0,0,0,16.1,14,3,18,2,0,1,0,0,0,5,1.65,0.98
Sean Poppen,ARI,14,0,0,0,14.2,8,4,11,8,1,1,0,0,1,2,2.45,1.09
Corbin Martin,ARI,5,0,0,0,14.1,15,7,14,6,0,0,0,0,0,0,4.4,1.47
Tyler Gilbert,ARI,3,2,0,0,14.1,12,8,12,4,5,0,2,0,0,0,5.02,1.12
Luis Frias,ARI,4,0,0,0,6.0,10,9,3,7,0,0,0,0,0,1,13.5,2.83
Edwin Uceta,ARI,3,0,0,0,4.2,5,5,2,4,0,0,0,0,0,0,9.64,1.93
Keynan Middleton,ARI,6,0,0,0,4.2,2,2,5,1,2,1,1,0,1,1,3.86,0.64
Oliver Perez,ARI,7,0,0,0,4.0,8,7,1,1,1,1,1,0,0,0,15.75,2.25
Tyler Holton,ARI,2,0,0,0,3.0,2,0,2,0,0,0,0,0,0,0,0.0,0.67
Taylor Widener,ARI,3,0,0,0,3.0,5,2,2,1,1,0,0,0,0,1,6.0,2.0
Matt Peacock,ARI,2,0,0,0,2.2,3,2,2,2,1,0,0,0,0,0,6.75,1.88
Paul Fry,ARI,1,0,0,0,1.0,2,1,2,2,0,0,0,0,0,0,9.0,4.0
Luke Weaver,ARI,1,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,13.5,4.5
