Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Michael Lorenzen,LAA,8,8,0,0,48.0,36,17,31,15,4,5,2,0,0,0,3.19,1.06
Shohei Ohtani,LAA,52,9,0,0,47.1,44,21,65,11,8,3,4,0,0,0,3.99,1.16
Reid Detmers,LAA,9,9,1,1,45.0,31,21,31,14,7,2,2,0,0,0,4.2,1.0
Patrick Sandoval,LAA,8,8,0,0,43.1,35,13,42,20,0,3,1,0,0,0,2.7,1.27
Noah Syndergaard,LAA,8,8,0,0,40.1,40,18,27,9,4,4,3,0,0,0,4.02,1.21
Jaime Barria,LAA,9,0,0,0,27.1,19,10,22,7,6,1,0,0,0,0,3.29,0.95
Jimmy Herget,LAA,18,1,0,0,26.0,20,8,26,3,2,1,0,1,0,2,2.77,0.88
Oliver Ortega,LAA,17,0,0,0,22.1,18,9,18,11,1,1,2,0,0,4,3.63,1.3
Ryan Tepera,LAA,22,0,0,0,21.2,12,10,17,11,3,1,1,1,3,12,4.15,1.06
Aaron Loup,LAA,22,0,0,0,19.1,17,10,21,5,2,0,2,0,3,7,4.66,1.14
Jose Suarez,LAA,5,4,0,0,17.2,21,12,16,12,4,0,2,0,0,0,6.11,1.87
Raisel Iglesias,LAA,20,0,0,0,17.0,12,7,24,4,3,1,3,11,1,0,3.71,0.94
Mike Mayers,LAA,15,0,0,0,16.2,18,10,14,6,4,1,0,0,1,1,5.4,1.44
Chase Silseth,LAA,4,4,0,0,16.1,17,9,11,7,4,1,2,0,0,0,4.96,1.47
Jhonathan Diaz,LAA,3,2,0,0,13.2,8,2,10,8,1,1,0,0,0,0,1.32,1.17
Archie Bradley,LAA,12,0,0,0,11.1,12,7,9,2,1,0,0,1,1,3,5.56,1.24
Kyle Barraclough,LAA,8,0,0,0,9.0,7,3,9,4,0,0,1,0,0,2,3.0,1.22
Austin Warren,LAA,7,0,0,0,8.1,8,4,5,5,1,2,0,0,1,0,4.32,1.56
Kenny Rosenberg,LAA,2,0,0,0,6.0,7,5,7,3,1,0,0,0,0,0,7.5,1.67
Andrew Wantz,LAA,4,0,0,0,5.1,4,2,4,0,1,0,0,0,0,0,3.38,0.75
Jose Quijada,LAA,3,0,0,0,2.0,3,1,3,2,0,0,1,0,0,0,4.5,2.5
Elvis Peguero,LAA,2,0,0,0,1.1,3,3,0,1,2,0,0,0,0,0,20.25,3.0
Cesar Valdez,LAA,1,0,0,0,1.0,2,1,0,0,0,0,0,0,0,0,9.0,2.0
Janson Junk,LAA,1,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0.0,1.0
Brian Moran,LAA,1,0,0,0,0.1,3,2,0,1,1,0,0,0,0,0,54.0,12.0
