Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Sandy Alcantara,MIA,11,11,1,0,74.2,49,15,71,24,4,6,2,0,0,0,1.81,0.98
Pablo Lopez,MIA,10,10,0,0,59.0,43,12,61,15,5,4,2,0,0,0,1.83,0.98
Elieser Hernandez,MIA,11,9,0,0,48.0,54,36,47,15,18,2,5,0,0,0,6.75,1.44
Trevor Rogers,MIA,10,10,0,0,45.0,49,29,39,21,8,2,5,0,0,0,5.8,1.56
Jesus Luzardo,MIA,6,6,0,0,29.0,18,13,41,16,4,2,3,0,0,0,4.03,1.17
Cody Poteet,MIA,11,2,0,0,26.0,16,7,20,11,2,0,1,0,0,1,2.42,1.04
Anthony Bass,MIA,20,0,0,0,20.2,15,5,20,5,1,1,2,0,1,8,2.18,0.97
Tanner Scott,MIA,22,0,0,0,19.1,15,11,29,12,2,0,1,2,0,1,5.12,1.4
Cole Sulser,MIA,22,0,0,0,19.0,17,10,22,9,2,0,3,2,3,5,4.74,1.37
Louis Head,MIA,17,0,0,0,18.0,19,11,19,9,2,0,0,1,0,1,5.5,1.56
Steven Okert,MIA,21,0,0,0,15.2,7,4,23,9,1,2,0,0,1,7,2.3,1.02
Anthony Bender,MIA,16,0,0,0,14.0,17,7,13,5,3,1,3,6,2,1,4.5,1.57
Richard Bleier,MIA,14,1,0,0,11.1,16,7,7,3,1,0,1,0,0,2,5.56,1.68
Tommy Nance,MIA,8,0,0,0,10.0,10,4,15,4,1,0,0,0,0,0,3.6,1.4
Dylan Floro,MIA,9,0,0,0,8.1,9,5,1,3,1,0,0,0,0,0,5.4,1.44
Shawn Armstrong,MIA,7,0,0,0,6.2,10,8,5,3,1,0,0,0,0,0,10.8,1.95
Edward Cabrera,MIA,1,1,0,0,6.0,1,0,9,4,0,1,0,0,0,0,0.0,0.83
Daniel Castano,MIA,3,0,0,0,4.0,5,0,2,0,0,0,1,0,0,0,0.0,1.25
Zach Pop,MIA,2,0,0,0,3.0,5,3,4,0,0,0,0,0,0,0,9.0,1.67
