Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Logan Webb,SF,10,10,0,0,61.1,57,24,50,14,5,5,1,0,0,0,3.52,1.16
Carlos Rodon,SF,10,10,0,0,55.0,48,21,70,21,3,4,4,0,0,0,3.44,1.25
Alex Wood,SF,10,10,0,0,48.1,54,25,50,15,5,3,5,0,0,0,4.66,1.43
Alex Cobb,SF,8,8,0,0,37.2,44,24,47,12,3,3,2,0,0,0,5.73,1.49
Jakob Junis,SF,7,5,0,0,37.0,29,11,27,7,4,2,1,0,0,0,2.68,0.97
John Brebbia,SF,23,1,0,0,22.2,21,8,22,6,0,3,0,0,0,3,3.18,1.19
Zack Littell,SF,18,0,0,0,21.1,23,11,19,2,5,1,1,0,0,2,4.64,1.17
Tyler Rogers,SF,22,0,0,0,21.0,25,14,12,6,0,0,1,0,1,8,6.0,1.48
Camilo Doval,SF,21,0,0,0,20.2,19,8,25,9,2,0,2,8,2,0,3.48,1.35
Jarlin Garcia,SF,19,0,0,0,19.1,11,5,14,7,3,1,2,0,1,1,2.33,0.93
Dominic Leone,SF,19,0,0,0,18.0,20,6,22,3,3,3,0,1,1,4,3.0,1.28
Jose Alvarez,SF,19,0,0,0,13.2,13,7,13,9,1,2,1,0,1,1,4.61,1.61
Anthony DeSclafani,SF,3,3,0,0,13.1,22,9,13,2,2,0,1,0,0,0,6.08,1.8
Jake McGee,SF,13,0,0,0,12.1,16,11,8,4,1,1,1,2,2,1,8.03,1.62
Sam Long,SF,10,3,0,0,12.1,9,4,9,6,1,0,1,0,0,0,2.92,1.22
Tyler Beede,SF,6,0,0,0,9.2,14,5,4,6,1,0,0,0,0,0,4.66,2.07
Yunior Marte,SF,9,0,0,0,9.1,10,8,7,6,1,0,0,0,0,0,7.71,1.71
Mauricio Llovera,SF,9,1,0,0,7.2,10,5,9,2,2,0,0,0,0,0,5.87,1.57
Sean Hjelle,SF,2,0,0,0,4.0,2,2,6,2,0,0,0,0,0,0,4.5,1.0
Gregory Santos,SF,1,0,0,0,1.2,0,0,1,0,0,0,0,0,0,0,0.0,0.0
Kervin Castro,SF,2,0,0,0,1.2,4,5,4,2,0,0,0,0,0,0,27.0,3.6
