Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Miles Mikolas,STL,11,11,0,0,65.2,60,22,51,15,6,4,3,0,0,0,3.02,1.14
Adam Wainwright,STL,10,10,0,0,59.0,50,18,48,20,5,5,4,0,0,0,2.75,1.19
Dakota Hudson,STL,10,10,0,0,51.2,44,17,28,24,4,4,2,0,0,0,2.96,1.32
Steven Matz,STL,9,9,0,0,37.1,44,25,44,8,8,3,3,0,0,0,6.03,1.39
Jordan Hicks,STL,9,7,0,0,28.2,20,16,29,20,3,1,4,0,0,0,5.02,1.4
Andre Pallante,STL,17,0,0,0,25.1,25,3,18,10,1,1,0,0,0,4,1.07,1.38
Nick Wittgren,STL,23,0,0,0,21.1,25,12,10,9,1,0,0,1,0,4,5.06,1.59
Genesis Cabrera,STL,19,0,0,0,21.0,15,5,16,7,4,2,1,0,0,7,2.14,1.05
T.J. McFarland,STL,18,0,0,0,20.0,29,17,12,6,4,0,0,0,0,1,7.65,1.75
Ryan Helsley,STL,16,0,0,0,18.2,4,1,28,5,0,2,0,3,1,4,0.48,0.48
Giovanny Gallegos,STL,19,0,0,0,18.2,17,8,23,4,2,0,2,8,3,1,3.86,1.13
Jake Woodford,STL,8,0,0,0,16.0,13,4,10,6,1,1,0,0,0,0,2.25,1.19
Drew VerHagen,STL,10,0,0,0,14.1,10,5,9,9,2,3,0,0,0,1,3.14,1.33
Matthew Liberatore,STL,3,3,0,0,13.0,15,8,10,8,4,1,1,0,0,0,5.54,1.77
Kodi Whitley,STL,14,0,0,0,12.2,11,8,12,9,2,2,0,0,0,1,5.68,1.58
Packy Naughton,STL,7,2,0,0,11.2,12,4,12,1,2,0,1,0,0,0,3.09,1.11
Aaron Brooks,STL,5,0,0,0,9.1,11,8,7,2,3,0,0,0,0,0,7.71,1.39
Angel Rondon,STL,1,0,0,0,5.0,1,0,4,3,0,1,0,0,0,0,0.0,0.8
Zack Thompson,STL,1,0,0,0,4.0,3,1,3,1,0,0,0,1,0,0,2.25,1.0
Jake Walsh,STL,3,0,0,0,2.2,3,4,5,2,0,0,1,0,0,0,13.5,1.88
Junior Fernandez,STL,1,0,0,0,2.0,2,0,1,0,0,0,0,0,0,0,0.0,1.0
