Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Joe Musgrove,SD,10,10,0,0,66.0,47,12,64,14,4,6,0,0,0,0,1.64,0.92
Sean Manaea,SD,10,10,0,0,62.0,48,26,68,21,8,2,3,0,0,0,3.77,1.11
Yu Darvish,SD,10,10,0,0,60.1,51,27,48,15,5,4,3,0,0,0,4.03,1.09
Nick Martinez,SD,9,8,0,0,45.2,43,20,43,22,7,2,3,0,0,0,3.94,1.42
MacKenzie Gore,SD,8,7,0,0,42.0,31,8,47,14,1,3,1,0,0,1,1.71,1.07
Nabil Crismatt,SD,16,1,0,0,24.0,18,5,20,9,0,3,0,0,1,2,1.88,1.13
Robert Suarez,SD,21,0,0,0,22.2,11,8,29,11,4,2,1,1,2,5,3.18,0.97
Taylor Rogers,SD,23,0,0,0,22.0,13,8,26,6,1,0,3,17,3,0,3.27,0.86
Luis Garcia,SD,21,0,0,0,20.1,19,6,21,6,0,4,2,0,1,10,2.66,1.23
Craig Stammen,SD,17,0,0,0,18.2,17,5,16,1,3,0,0,0,1,2,2.41,0.96
Steven Wilson,SD,18,0,0,0,17.2,15,10,19,7,4,3,1,1,2,5,5.09,1.25
Blake Snell,SD,3,3,0,0,15.0,8,8,18,8,2,0,2,0,0,0,4.8,1.07
Mike Clevinger,SD,3,3,0,0,14.0,11,5,15,5,1,1,0,0,0,0,3.21,1.14
Tim Hill,SD,14,0,0,0,10.1,11,7,4,3,0,0,0,0,0,5,6.1,1.35
Dinelson Lamet,SD,10,0,0,0,8.1,10,9,10,7,2,0,1,0,0,1,9.72,2.04
Pierce Johnson,SD,6,0,0,0,6.0,6,3,11,4,0,0,1,0,0,5,4.5,1.67
Pedro Avila,SD,2,0,0,0,4.0,3,2,5,1,1,0,0,0,0,0,4.5,1.0
Austin Adams,SD,2,0,0,0,2.1,0,0,2,3,0,1,0,0,0,0,0.0,1.29
Ray Kerr,SD,3,0,0,0,2.1,1,2,2,1,1,0,0,0,0,0,7.71,0.86
Javy Guerra,SD,1,0,0,0,2.0,3,4,1,3,1,0,0,0,0,0,18.0,3.0
