Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Walker Buehler,LAD,10,10,1,1,58.2,58,21,49,15,5,6,1,0,0,0,3.22,1.24
Tyler Anderson,LAD,10,8,0,0,55.2,47,16,53,6,6,7,0,0,0,0,2.59,0.95
Julio Urias,LAD,10,10,0,0,53.0,47,17,42,12,9,3,5,0,0,0,2.89,1.11
Tony Gonsolin,LAD,10,10,0,0,51.0,28,9,49,17,3,6,0,0,0,0,1.59,0.88
Clayton Kershaw,LAD,5,5,0,0,30.0,19,6,32,3,2,4,0,0,0,0,1.8,0.73
Brusdar Graterol,LAD,20,0,0,0,22.1,15,7,19,10,1,1,2,0,0,6,2.82,1.12
Evan Phillips,LAD,19,0,0,0,21.0,14,6,25,6,2,1,2,0,2,4,2.57,0.95
Mitch White,LAD,8,3,0,0,20.2,17,11,22,8,3,1,1,0,0,0,4.79,1.21
Daniel Hudson,LAD,18,0,0,0,18.1,11,4,22,3,1,2,3,4,0,7,1.96,0.76
Craig Kimbrel,LAD,17,0,0,0,16.0,15,8,22,6,1,0,1,11,1,0,4.5,1.31
Phil Bickford,LAD,17,0,0,0,15.2,15,6,13,3,2,0,0,0,0,1,3.45,1.15
Alex Vesia,LAD,19,0,0,0,15.0,13,6,20,4,1,0,0,0,0,6,3.6,1.13
Justin Bruihl,LAD,14,0,0,0,13.0,9,3,9,3,1,1,1,0,0,3,2.08,0.92
Ryan Pepiot,LAD,3,3,0,0,11.1,6,4,13,11,1,0,0,0,0,0,3.18,1.5
Yency Almonte,LAD,7,0,0,0,11.0,8,2,11,5,1,0,0,0,1,1,1.64,1.18
David Price,LAD,10,0,0,0,10.1,13,4,15,2,2,0,0,0,1,2,3.48,1.45
Andrew Heaney,LAD,2,2,0,0,10.1,4,0,16,3,0,1,0,0,0,0,0.0,0.68
Reyes Moronta,LAD,7,0,0,0,8.0,8,2,7,3,0,0,0,0,0,0,2.25,1.38
Michael Grove,LAD,2,1,0,0,4.2,7,3,3,4,0,0,0,0,0,0,5.79,2.36
Tommy Kahnle,LAD,4,0,0,0,4.0,3,3,5,2,2,0,0,0,0,1,6.75,1.25
Blake Treinen,LAD,3,0,0,0,3.0,1,1,5,0,1,1,1,0,0,1,3.0,0.33
Garrett Cleavinger,LAD,3,0,0,0,2.2,3,1,4,2,0,0,0,0,0,0,3.38,1.88
Robbie Erlin,LAD,2,0,0,0,2.0,2,2,1,1,1,0,0,0,0,0,9.0,1.5
Shane Greene,LAD,1,0,0,0,2.0,2,0,1,0,0,1,0,0,0,0,0.0,1.0
Caleb Ferguson,LAD,2,0,0,0,1.2,0,0,2,3,0,0,0,0,0,1,0.0,1.8
