Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Kyle Hendricks,CHC,11,11,0,0,58.2,60,34,37,19,11,2,5,0,0,0,5.22,1.35
Marcus Stroman,CHC,9,9,0,0,47.1,46,28,45,12,8,2,5,0,0,0,5.32,1.23
Keegan Thompson,CHC,12,4,0,0,45.1,35,10,38,14,3,6,0,0,0,0,1.99,1.08
Drew Smyly,CHC,9,9,0,0,42.2,44,18,34,10,8,2,5,0,0,0,3.8,1.27
Justin Steele,CHC,10,10,0,0,40.0,40,24,46,23,2,1,5,0,0,0,5.4,1.58
Scott Effross,CHC,24,1,0,0,23.2,21,8,28,5,1,1,1,0,1,5,3.04,1.1
Mychal Givens,CHC,21,0,0,0,20.2,18,8,28,7,5,4,0,1,2,4,3.48,1.21
Rowan Wick,CHC,20,0,0,0,20.0,23,8,23,10,1,1,1,4,0,3,3.6,1.65
David Robertson,CHC,18,0,0,0,19.1,8,4,26,9,1,1,0,7,2,0,1.86,0.88
Daniel Norris,CHC,16,1,0,0,18.0,9,11,23,11,4,0,3,0,0,2,5.5,1.11
Mark Leiter,CHC,7,3,0,0,17.1,15,12,16,9,2,1,1,0,0,0,6.23,1.38
Michael Rucker,CHC,10,0,0,0,16.2,14,7,18,6,2,0,0,0,0,1,3.78,1.2
Chris Martin,CHC,18,0,0,0,16.0,20,7,21,4,2,0,0,0,1,2,3.94,1.5
Wade Miley,CHC,3,3,0,0,16.0,12,6,10,7,0,1,0,0,0,0,3.38,1.19
Robert Gsellman,CHC,8,0,0,0,15.1,17,8,9,3,2,0,2,1,1,0,4.7,1.3
Brandon Hughes,CHC,7,0,0,0,9.2,7,4,12,2,2,0,0,0,1,0,3.72,0.93
Ethan Roberts,CHC,9,0,0,0,7.2,10,7,9,6,3,0,1,0,0,1,8.22,2.09
Matt Swarmer,CHC,1,1,0,0,6.0,5,1,6,1,2,0,0,0,0,0,1.5,1.0
Jesse Chavez,CHC,3,0,0,0,5.2,7,4,3,2,1,0,0,0,1,0,6.35,1.59
Anderson Espinoza,CHC,1,0,0,0,4.0,2,2,6,3,1,0,1,0,0,0,4.5,1.25
Sean Newcomb,CHC,3,0,0,0,3.1,3,3,3,1,1,0,0,0,0,0,8.1,1.2
Locke St. John,CHC,1,0,0,0,2.0,3,3,4,0,2,0,0,0,0,0,13.5,1.5
Conner Menez,CHC,1,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0.0,1.0
Adrian Sampson,CHC,1,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,0.0,2.0
