Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Chris Bassitt,NYM,11,11,0,0,65.0,55,27,68,21,11,4,3,0,0,0,3.74,1.17
Carlos Carrasco,NYM,10,10,0,0,57.0,56,23,51,13,3,6,1,0,0,0,3.63,1.21
Max Scherzer,NYM,8,8,0,0,49.2,36,14,59,11,5,5,1,0,0,0,2.54,0.95
Taijuan Walker,NYM,8,8,0,0,40.2,39,13,21,13,2,3,1,0,0,0,2.88,1.28
Tylor Megill,NYM,7,7,0,0,34.2,30,17,37,9,4,4,2,0,0,0,4.41,1.13
David Peterson,NYM,6,5,0,0,29.2,22,10,23,13,2,2,0,0,0,0,3.03,1.18
Trevor Williams,NYM,9,4,0,0,27.2,27,11,23,6,3,1,3,0,1,0,3.58,1.19
Drew Smith,NYM,21,0,0,0,22.2,14,6,27,10,3,0,1,0,1,12,2.38,1.06
Edwin Diaz,NYM,22,0,0,0,21.2,16,6,40,10,3,2,1,11,3,0,2.49,1.2
Seth Lugo,NYM,21,0,0,0,21.1,18,8,21,5,2,0,1,2,1,9,3.38,1.08
Adam Ottavino,NYM,22,0,0,0,18.2,17,8,27,9,2,2,1,0,2,6,3.86,1.39
Chasen Shreve,NYM,18,0,0,0,18.1,16,9,21,5,3,1,1,0,1,3,4.42,1.15
Joely Rodriguez,NYM,21,0,0,0,17.2,12,9,21,11,1,0,2,0,0,7,4.58,1.3
Colin Holderman,NYM,8,0,0,0,10.2,8,1,13,1,0,2,0,0,0,0,0.84,0.84
Stephen Nogosek,NYM,5,0,0,0,10.0,6,1,8,4,1,0,0,0,0,0,0.9,1.0
Sean Reid-Foley,NYM,7,0,0,0,10.0,7,6,8,7,1,0,0,0,0,0,5.4,1.4
Adonis Medina,NYM,5,0,0,0,8.2,11,5,7,0,1,1,0,0,0,0,5.19,1.27
Trevor May,NYM,8,0,0,0,8.1,13,8,5,3,2,1,0,1,0,2,8.64,1.92
Jake Reed,NYM,2,0,0,0,3.0,0,0,2,2,0,1,0,0,0,0,0.0,0.67
Yoan Lopez,NYM,2,0,0,0,3.0,5,3,4,0,1,0,0,0,0,0,9.0,1.67
Thomas Szapucki,NYM,1,1,0,0,1.1,7,9,2,3,4,0,1,0,0,0,60.75,7.5
