Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Tyler Mahle,CIN,11,11,0,0,53.2,48,33,58,26,5,2,5,0,0,0,5.53,1.38
Hunter Greene,CIN,10,10,0,0,48.0,49,33,64,24,15,2,7,0,0,0,6.19,1.52
Vladimir Gutierrez,CIN,10,8,0,0,36.2,46,31,29,24,8,1,6,0,0,0,7.61,1.91
Jeff Hoffman,CIN,19,0,0,0,26.2,22,10,29,13,2,0,0,0,0,1,3.38,1.31
Luis Castillo,CIN,5,5,0,0,26.2,19,10,28,8,2,2,2,0,0,0,3.38,1.01
Connor Overton,CIN,4,4,0,0,24.2,15,5,10,7,0,1,0,0,0,0,1.82,0.89
Alexis Diaz,CIN,22,0,0,0,24.0,9,3,30,12,1,2,0,1,0,6,1.13,0.88
Luis Cessa,CIN,19,1,0,0,21.0,22,12,17,4,3,2,1,0,0,3,5.14,1.24
Hunter Strickland,CIN,20,0,0,0,18.2,17,11,17,15,1,0,1,1,0,2,5.3,1.71
Art Warren,CIN,20,0,0,0,18.1,18,14,18,10,4,2,2,3,3,2,6.87,1.53
Graham Ashcraft,CIN,3,3,0,0,17.2,12,3,9,5,1,2,0,0,0,0,1.53,0.96
Tony Santillan,CIN,17,0,0,0,17.1,18,9,20,9,1,0,0,4,1,4,4.67,1.56
Reiver Sanmartin,CIN,5,4,0,0,16.1,28,25,10,9,4,0,4,0,0,0,13.78,2.27
Nick Lodolo,CIN,3,3,0,0,14.2,18,9,19,5,3,1,2,0,0,0,5.52,1.57
Dauri Moreta,CIN,15,1,0,0,13.2,15,15,16,6,7,0,1,0,0,1,9.88,1.54
Buck Farmer,CIN,10,0,0,0,12.0,15,9,17,7,2,0,0,0,0,0,6.75,1.83
Joel Kuhnel,CIN,9,0,0,0,11.2,9,1,14,2,0,0,0,0,0,0,0.77,0.94
Lucas Sims,CIN,6,0,0,0,6.2,5,7,5,6,0,1,0,1,0,0,9.45,1.65
Phillip Diehl,CIN,5,0,0,0,5.2,8,7,3,3,3,0,0,0,0,0,11.12,1.94
Jared Solomon,CIN,5,0,0,0,4.2,3,2,6,2,0,0,0,0,0,0,3.86,1.07
Mike Minor,CIN,1,1,0,0,4.0,6,5,4,0,3,0,1,0,0,0,11.25,1.5
Justin Wilson,CIN,5,0,0,0,3.2,3,1,7,0,0,0,1,0,0,0,2.45,0.82
Ryan Hendrix,CIN,5,0,0,0,3.1,5,3,4,4,0,0,0,0,0,0,8.1,2.7
Ross Detwiler,CIN,4,0,0,0,3.1,2,0,3,1,0,0,0,0,0,1,0.0,0.9
Robert Dugger,CIN,1,0,0,0,3.0,5,3,5,1,1,0,0,0,0,0,9.0,2.0
Daniel Duarte,CIN,3,0,0,0,2.2,3,3,2,3,1,0,0,0,0,0,10.13,2.25
