Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Robbie Ray,SEA,11,11,0,0,65.2,58,36,74,24,11,4,6,0,0,0,4.93,1.25
Logan Gilbert,SEA,11,11,0,0,65.0,48,16,67,19,5,5,2,0,0,0,2.22,1.03
Chris Flexen,SEA,10,10,0,0,55.1,60,28,40,18,9,2,6,0,0,0,4.55,1.41
Marco Gonzales,SEA,10,10,0,0,50.2,54,20,29,17,10,3,5,0,0,0,3.55,1.4
George Kirby,SEA,5,5,0,0,26.0,27,10,28,3,3,1,1,0,0,0,3.46,1.15
Matt Brash,SEA,5,5,0,0,20.0,24,17,19,17,3,1,3,0,0,0,7.65,2.05
Paul Sewald,SEA,19,0,0,0,19.1,10,5,19,6,2,2,1,3,2,3,2.33,0.83
Diego Castillo,SEA,20,0,0,0,18.0,20,13,20,8,1,2,0,2,0,1,6.5,1.56
Penn Murfee,SEA,16,0,0,0,17.2,8,2,21,5,0,1,0,0,0,0,1.02,0.74
Andres Munoz,SEA,18,0,0,0,16.1,18,9,23,6,3,1,2,1,2,3,4.96,1.47
Matt Festa,SEA,16,0,0,0,16.1,15,10,25,5,5,0,0,0,0,3,5.51,1.22
Drew Steckenrider,SEA,16,0,0,0,14.1,21,9,10,5,2,0,2,2,2,4,5.65,1.81
Erik Swanson,SEA,13,0,0,0,14.0,10,2,21,1,2,0,0,0,0,3,1.29,0.79
Anthony Misiewicz,SEA,17,0,0,0,13.2,14,7,8,6,1,0,1,0,0,3,4.61,1.46
Wyatt Mills,SEA,8,0,0,0,8.2,5,4,6,3,0,0,0,0,0,0,4.15,0.92
Sergio Romo,SEA,9,0,0,0,8.2,9,6,5,2,3,0,0,0,0,3,6.23,1.27
Yohan Ramirez,SEA,7,0,0,0,8.1,7,7,10,6,3,1,0,0,1,0,7.56,1.56
Justus Sheffield,SEA,4,0,0,0,4.2,1,0,2,2,0,0,0,0,0,0,0.0,0.64
Matt Koch,SEA,4,0,0,0,4.1,5,4,3,1,2,0,0,0,0,0,8.31,1.38
Roenis Elias,SEA,3,0,0,0,4.0,3,2,3,2,1,0,0,0,0,0,4.5,1.25
Danny Young,SEA,2,0,0,0,3.2,7,3,5,2,1,0,0,0,0,0,7.36,2.45
Riley O'Brien,SEA,1,0,0,0,1.0,1,0,1,1,0,0,0,0,0,0,0.0,2.0
