Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Martin Perez,TEX,10,10,1,1,63.1,45,10,49,14,0,4,2,0,0,0,1.42,0.93
Dane Dunning,TEX,11,11,0,0,61.1,58,28,63,20,7,1,3,0,0,0,4.11,1.27
Taylor Hearn,TEX,10,10,0,0,44.1,54,27,41,23,7,3,4,0,0,0,5.48,1.74
Jon Gray,TEX,8,8,0,0,41.0,35,22,44,15,5,1,2,0,0,0,4.83,1.22
Glenn Otto,TEX,7,7,0,0,35.1,30,17,29,18,4,3,2,0,0,0,4.33,1.36
Brock Burke,TEX,15,0,0,0,26.2,20,3,31,8,1,3,0,0,0,3,1.01,1.05
Matt Moore,TEX,15,0,0,0,22.1,20,8,26,16,0,2,0,0,0,1,3.22,1.61
John King,TEX,21,0,0,0,21.0,21,7,17,9,1,1,1,0,2,6,3.0,1.43
Matt Bush,TEX,22,2,0,0,19.2,16,7,27,5,4,2,1,1,2,6,3.2,1.07
Joe Barlow,TEX,18,0,0,0,18.1,12,5,17,6,3,1,1,9,1,0,2.45,0.98
Brett Martin,TEX,22,0,0,0,18.1,20,9,16,6,1,0,4,0,1,3,4.42,1.42
Dennis Santana,TEX,19,0,0,0,17.2,8,3,9,2,0,2,2,1,0,7,1.53,0.57
Garrett Richards,TEX,13,2,0,0,17.0,12,8,15,8,2,1,1,0,0,0,4.24,1.18
Kolby Allard,TEX,5,0,0,0,10.0,9,6,7,3,3,0,2,0,0,0,5.4,1.2
Albert Abreu,TEX,7,0,0,0,8.2,4,3,9,12,2,0,0,0,0,0,3.12,1.85
Josh Sborz,TEX,8,0,0,0,8.1,10,10,12,6,2,0,0,0,0,0,10.8,1.92
Spencer Patton,TEX,7,0,0,0,7.0,4,3,5,3,1,0,0,0,0,1,3.86,1.0
Spencer Howard,TEX,3,1,0,0,6.2,10,9,12,2,6,0,1,0,0,0,12.15,1.8
Greg Holland,TEX,5,0,0,0,4.2,6,4,5,1,3,0,1,0,0,0,7.71,1.5
Nick Snyder,TEX,2,0,0,0,1.0,1,2,0,3,0,0,0,0,0,0,18.0,4.0
