Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Shane McClanahan,TB,11,11,0,0,64.1,47,15,89,12,8,6,2,0,0,0,2.1,0.92
Corey Kluber,TB,10,10,0,0,50.2,49,21,46,8,6,2,2,0,0,0,3.73,1.13
Drew Rasmussen,TB,10,10,0,0,46.2,38,18,44,13,5,5,2,0,0,0,3.47,1.09
Jeffrey Springs,TB,14,6,0,0,38.1,25,8,40,8,5,2,2,0,0,0,1.88,0.86
Ryan Yarbrough,TB,6,5,0,0,27.0,26,12,20,8,3,0,2,0,0,0,4.0,1.26
Matt Wisler,TB,23,3,0,0,26.2,21,7,22,9,4,2,1,1,2,4,2.36,1.13
J.P. Feyereisen,TB,22,2,0,0,24.1,7,0,25,5,0,4,0,1,1,7,0.0,0.49
Jalen Beeks,TB,13,1,0,0,22.2,13,3,27,7,2,1,0,0,0,1,1.19,0.88
Jason Adam,TB,23,0,0,0,21.2,7,2,29,7,0,0,1,1,0,6,0.83,0.65
Josh Fleming,TB,6,2,0,0,18.1,27,13,17,9,2,2,3,0,0,0,6.38,1.96
Ryan Thompson,TB,21,0,0,0,18.0,20,13,14,6,4,1,2,3,3,3,6.5,1.44
Andrew Kittredge,TB,15,0,0,0,18.0,13,6,13,1,4,3,1,5,2,0,3.0,0.78
Colin Poche,TB,19,0,0,0,17.1,11,3,14,5,3,1,0,3,1,8,1.56,0.92
Ralph Garza,TB,9,0,0,0,15.2,17,8,9,7,2,0,1,0,1,0,4.6,1.53
Brooks Raley,TB,17,0,0,0,14.0,9,4,17,5,0,1,0,3,1,5,2.57,1.0
Phoenix Sanders,TB,5,0,0,0,10.0,8,2,9,2,0,0,0,0,0,0,1.8,1.0
Dusten Knight,TB,3,0,0,0,5.2,4,1,4,3,0,0,1,0,0,0,1.59,1.24
Chris Mazza,TB,2,0,0,0,5.1,9,7,5,6,3,1,0,0,0,0,11.81,2.81
Robert Dugger,TB,1,0,0,0,5.1,8,3,7,0,0,0,0,0,0,0,5.06,1.5
Javy Guerra,TB,6,0,0,0,5.1,8,5,3,1,2,0,0,0,0,0,8.44,1.69
Tommy Romero,TB,2,1,0,0,3.2,3,4,4,5,2,0,0,0,0,0,9.82,2.18
Shawn Armstrong,TB,3,0,0,0,2.2,4,1,4,1,0,0,0,0,0,1,3.38,1.88
Calvin Faucher,TB,2,0,0,0,2.0,5,5,1,2,1,0,0,0,0,0,22.5,3.5
JT Chargois,TB,1,0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0.0,0.0
Luis Patino,TB,1,1,0,0,0.2,1,1,0,0,0,0,1,0,0,0,13.5,1.5
