Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
German Marquez,COL,10,10,0,0,55.0,71,41,46,18,11,1,5,0,0,0,6.71,1.62
Chad Kuhl,COL,10,10,0,0,54.0,48,19,41,20,5,4,2,0,0,0,3.17,1.26
Kyle Freeland,COL,10,10,0,0,52.2,63,29,42,19,5,1,5,0,0,0,4.96,1.56
Austin Gomber,COL,10,10,0,0,52.1,59,38,40,18,8,2,6,0,0,0,6.54,1.47
Antonio Senzatela,COL,8,8,0,0,35.0,61,21,14,8,3,2,3,0,0,0,5.4,1.97
Ty Blach,COL,14,1,0,0,28.2,33,19,16,8,3,1,0,1,1,0,5.97,1.43
Jhoulys Chacin,COL,18,0,0,0,24.2,24,19,20,11,3,3,1,0,0,2,6.93,1.42
Tyler Kinley,COL,22,0,0,0,21.0,19,2,23,5,0,1,1,0,0,9,0.86,1.14
Ashton Goudeau,COL,12,0,0,0,20.1,25,16,16,10,3,1,0,1,0,0,7.08,1.72
Daniel Bard,COL,19,0,0,0,20.1,11,6,25,11,2,3,2,11,2,0,2.66,1.08
Alex Colome,COL,18,0,0,0,17.1,21,6,9,7,0,1,0,2,1,3,3.12,1.62
Ryan Feltner,COL,3,3,0,0,17.0,14,7,20,5,2,1,1,0,0,0,3.71,1.12
Carlos Estevez,COL,19,0,0,0,15.2,18,11,11,7,4,1,2,0,1,2,6.32,1.6
Justin Lawrence,COL,14,0,0,0,14.2,15,9,20,12,1,1,1,0,0,2,5.52,1.84
Robert Stephenson,COL,16,0,0,0,13.1,16,8,11,8,2,0,0,0,0,2,5.4,1.8
Lucas Gilbreath,COL,15,0,0,0,12.0,11,10,12,10,1,0,0,0,1,1,7.5,1.75
Chad Smith,COL,2,0,0,0,2.0,5,6,1,2,0,0,0,0,0,0,27.0,3.5
