Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Josiah Gray,WAS,11,11,0,0,57.1,47,30,63,28,14,6,4,0,0,0,4.71,1.31
Patrick Corbin,WAS,11,11,1,0,54.1,73,42,48,24,7,1,8,0,0,0,6.96,1.79
Joan Adon,WAS,11,11,0,0,52.2,56,35,42,33,6,1,9,0,0,0,5.98,1.69
Erick Fedde,WAS,10,10,0,0,47.0,49,24,42,23,6,3,4,0,0,0,4.6,1.53
Aaron Sanchez,WAS,7,7,0,0,31.1,47,29,16,8,6,3,3,0,0,0,8.33,1.76
Josh Rogers,WAS,16,3,0,0,26.1,24,15,12,11,6,2,2,0,0,1,5.13,1.33
Paolo Espino,WAS,18,0,0,0,24.2,23,6,17,4,2,0,0,0,0,0,2.19,1.09
Victor Arano,WAS,23,0,0,0,22.1,23,12,24,4,2,0,0,1,0,3,4.84,1.21
Erasmo Ramirez,WAS,17,0,0,0,21.2,27,9,17,3,3,1,0,0,0,0,3.74,1.38
Steve Cishek,WAS,23,0,0,0,20.1,21,10,23,9,2,0,1,0,1,3,4.43,1.48
Kyle Finnegan,WAS,22,0,0,0,20.0,20,9,23,7,2,1,1,0,0,8,4.05,1.35
Austin Voth,WAS,19,0,0,0,18.2,34,21,18,6,4,0,0,0,0,1,10.13,2.14
Tanner Rainey,WAS,16,0,0,0,16.1,12,4,18,6,0,1,1,6,2,1,2.2,1.1
Carl Edwards,WAS,12,0,0,0,14.0,5,3,13,7,0,0,1,0,1,2,1.93,0.86
Andres Machado,WAS,12,0,0,0,13.1,14,8,10,7,0,0,0,0,0,0,5.4,1.58
Patrick Murphy,WAS,6,0,0,0,5.2,8,4,4,8,0,0,0,0,0,0,6.35,2.82
Sean Doolittle,WAS,6,0,0,0,5.1,1,0,6,0,0,0,0,0,0,2,0.0,0.19
Francisco Perez,WAS,6,0,0,0,5.1,6,3,4,6,1,0,0,0,0,0,5.06,2.25
Sam Clay,WAS,5,0,0,0,4.0,3,5,3,2,1,0,0,0,0,0,11.25,1.25
Evan Lee,WAS,1,1,0,0,3.2,4,2,2,3,0,0,1,0,0,0,4.91,1.91
Hunter Harvey,WAS,4,0,0,0,2.2,1,0,3,1,0,0,0,0,0,0,0.0,0.75
Jordan Weems,WAS,2,0,0,0,1.2,2,2,2,1,0,0,0,0,0,0,10.8,1.8
Mason Thompson,WAS,2,0,0,0,1.0,0,0,3,2,0,0,0,0,0,0,0.0,2.0
