Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
JT Brubaker,PIT,11,11,0,0,51.2,51,27,53,24,8,0,5,0,0,0,4.7,1.45
Jose Quintana,PIT,10,10,0,0,50.1,44,13,41,18,2,1,2,0,0,0,2.32,1.23
Mitch Keller,PIT,10,8,0,0,43.2,48,28,37,20,6,2,5,0,0,0,5.77,1.56
Zach Thompson,PIT,10,9,0,0,40.0,43,23,31,15,7,2,4,0,0,0,5.18,1.45
Wil Crowe,PIT,20,1,0,0,30.2,18,8,30,13,2,2,2,2,2,3,2.35,1.01
Bryse Wilson,PIT,8,5,0,0,28.2,37,24,24,14,3,0,3,0,0,0,7.53,1.78
David Bednar,PIT,21,0,0,0,26.0,16,4,35,5,2,2,1,9,1,4,1.38,0.81
Dillon Peters,PIT,16,4,0,0,25.2,14,11,21,16,1,4,2,0,0,3,3.86,1.17
Chris Stratton,PIT,21,0,0,0,20.1,24,9,21,6,1,2,2,2,3,6,3.98,1.48
Chase De Jong,PIT,10,0,0,0,19.1,11,4,11,6,3,2,0,0,0,1,1.86,0.88
Roansy Contreras,PIT,5,2,0,0,17.2,12,5,18,6,2,1,0,0,0,1,2.55,1.02
Heath Hembree,PIT,17,0,0,0,13.1,15,12,10,9,5,2,0,0,1,2,8.1,1.8
Duane Underwood,PIT,8,0,0,0,12.1,11,4,14,5,0,0,1,0,0,2,2.92,1.3
Anthony Banda,PIT,15,0,0,0,12.0,20,7,14,4,2,1,0,0,0,1,5.25,2.0
Miguel Yajure,PIT,6,0,0,0,10.1,16,13,4,6,1,1,0,0,0,0,11.32,2.13
Beau Sulser,PIT,4,0,0,0,9.2,8,4,10,6,1,0,0,0,0,0,3.72,1.45
Aaron Fletcher,PIT,8,0,0,0,8.2,10,9,6,3,2,0,1,0,0,0,9.35,1.5
Tyler Beede,PIT,5,0,0,0,6.2,7,4,3,4,0,0,0,0,0,1,5.4,1.65
Max Kranick,PIT,2,0,0,0,5.0,3,0,4,3,0,0,0,0,0,1,0.0,1.2
Yerry De Los Santos,PIT,2,0,0,0,3.0,3,2,4,2,2,0,0,0,0,0,6.0,1.67
Sam Howard,PIT,3,0,0,0,2.0,2,2,1,4,1,0,0,0,0,0,9.0,3.0
Cam Alldred,PIT,1,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0.0,1.0
