Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Dylan Cease,CWS,10,10,0,0,53.2,44,22,76,23,5,4,2,0,0,0,3.69,1.25
Michael Kopech,CWS,9,9,0,0,45.0,23,11,43,23,2,1,2,0,0,0,2.2,1.02
Lucas Giolito,CWS,8,8,0,0,42.1,41,17,59,17,8,3,2,0,0,0,3.61,1.37
Vince Velasquez,CWS,8,7,0,0,35.2,36,21,33,14,7,2,3,0,0,0,5.3,1.4
Dallas Keuchel,CWS,8,8,0,0,32.0,49,28,20,20,6,2,5,0,0,0,7.88,2.16
Johnny Cueto,CWS,4,4,0,0,24.2,24,8,19,7,1,0,2,0,0,0,2.92,1.26
Matt Foster,CWS,24,0,0,0,23.1,18,7,22,7,2,1,0,0,0,5,2.7,1.07
Kendall Graveman,CWS,21,0,0,0,22.2,22,7,19,7,1,1,1,2,3,10,2.78,1.28
Reynaldo Lopez,CWS,19,0,0,0,22.0,22,11,16,6,0,4,1,0,1,2,4.5,1.27
Tanner Banks,CWS,14,0,0,0,21.2,23,11,19,9,3,0,0,0,0,0,4.57,1.48
Liam Hendriks,CWS,21,0,0,0,21.2,21,8,33,7,3,1,2,14,3,0,3.32,1.29
Jose Ruiz,CWS,21,0,0,0,18.2,17,10,21,14,3,0,0,0,0,9,4.82,1.66
Bennett Sousa,CWS,21,0,0,0,17.0,18,13,11,9,2,2,0,1,1,4,6.88,1.59
Aaron Bummer,CWS,17,0,0,0,15.1,17,6,18,8,1,0,1,1,1,8,3.52,1.63
Davis Martin,CWS,2,2,0,0,10.1,10,5,8,4,1,0,2,0,0,0,4.35,1.35
Kyle Crick,CWS,10,0,0,0,10.0,7,4,11,8,0,1,0,0,0,2,3.6,1.5
Ryan Burr,CWS,8,0,0,0,9.0,8,6,7,4,3,1,1,0,0,1,6.0,1.33
Anderson Severino,CWS,6,0,0,0,7.1,7,5,9,4,0,0,0,0,0,0,6.14,1.5
Jimmy Lambert,CWS,3,2,0,0,7.0,8,4,7,4,1,0,2,0,0,0,5.14,1.71
Joe Kelly,CWS,7,0,0,0,5.2,8,6,8,6,0,0,1,0,0,6,9.53,2.47
