Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Tarik Skubal,DET,10,10,0,0,58.2,46,14,61,10,2,4,2,0,0,0,2.15,0.95
Eduardo Rodriguez,DET,8,8,0,0,39.0,35,19,34,17,4,1,3,0,0,0,4.38,1.33
Beau Brieske,DET,7,7,0,0,36.0,36,21,22,14,10,0,4,0,0,0,5.25,1.39
Alex Faedo,DET,6,6,0,0,32.0,32,11,21,10,3,1,2,0,0,0,3.09,1.31
Rony Garcia,DET,10,2,0,0,23.0,17,12,29,6,4,0,1,0,0,0,4.7,1.0
Wily Peralta,DET,14,1,0,0,22.1,15,2,20,13,1,2,0,0,0,1,0.81,1.25
Michael Pineda,DET,5,5,0,0,22.1,20,8,12,4,4,1,2,0,0,0,3.22,1.07
Alex Lange,DET,23,0,0,0,20.2,11,4,26,8,0,3,1,0,0,7,1.74,0.92
Jacob Barnes,DET,20,0,0,0,19.0,18,12,10,8,3,3,1,0,1,3,5.68,1.37
Joe Jimenez,DET,20,0,0,0,19.0,12,6,22,5,2,2,0,0,0,3,2.84,0.89
Will Vest,DET,16,0,0,0,19.0,7,4,25,5,2,0,1,1,0,0,1.89,0.63
Michael Fulmer,DET,19,0,0,0,18.2,12,6,18,9,1,2,2,1,2,6,2.89,1.13
Gregory Soto,DET,19,0,0,0,17.2,13,4,14,8,1,2,2,10,1,1,2.04,1.19
Elvin Rodriguez,DET,4,3,0,0,16.0,20,18,14,7,6,0,1,0,0,0,10.13,1.69
Drew Hutchison,DET,10,0,0,0,15.2,12,8,15,12,1,0,3,0,0,0,4.6,1.53
Jason Foley,DET,13,0,0,0,15.2,17,5,7,2,0,0,0,0,0,0,2.87,1.21
Andrew Chafin,DET,16,0,0,0,12.1,13,4,13,3,0,0,1,1,0,6,2.92,1.3
Tyler Alexander,DET,4,4,0,0,12.1,17,12,9,5,3,0,3,0,0,0,8.76,1.78
Casey Mize,DET,2,2,0,0,10.0,13,6,4,2,1,0,1,0,0,0,5.4,1.5
Matt Manning,DET,2,2,0,0,8.0,6,2,4,0,1,0,0,0,0,0,2.25,0.75
Joey Wentz,DET,2,2,0,0,6.2,8,6,5,2,0,0,1,0,0,0,8.1,1.5
Drew Carlton,DET,4,0,0,0,6.2,4,2,6,0,1,0,0,0,0,0,2.7,0.6
Angel De Jesus,DET,1,0,0,0,2.0,1,0,3,2,0,0,0,0,0,0,0.0,1.5
