Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Brad Keller,KC,10,10,0,0,60.2,57,28,33,18,7,1,6,0,0,0,4.15,1.24
Zack Greinke,KC,10,10,0,0,51.2,60,29,25,10,7,0,4,0,0,0,5.05,1.35
Daniel Lynch,KC,9,9,0,0,43.0,47,23,39,20,5,2,4,0,0,0,4.81,1.56
Brady Singer,KC,7,4,0,0,30.1,29,14,30,4,5,2,1,0,0,0,4.15,1.09
Carlos Hernandez,KC,7,7,0,0,29.2,44,30,16,20,4,0,3,0,0,0,9.1,2.16
Scott Barlow,KC,19,0,0,0,22.0,16,4,21,8,3,2,1,5,1,4,1.64,1.09
Joel Payamps,KC,14,0,0,0,21.1,24,7,17,7,0,1,1,0,0,0,2.95,1.45
Dylan Coleman,KC,20,0,0,0,20.1,13,9,24,17,3,1,1,0,0,1,3.98,1.48
Josh Staumont,KC,21,0,0,0,19.2,19,8,27,10,1,2,1,3,3,2,3.66,1.47
Jonathan Heasley,KC,4,4,0,0,19.1,18,10,10,16,3,0,2,0,0,0,4.66,1.76
Taylor Clarke,KC,20,0,0,0,19.0,27,12,14,0,4,1,1,1,2,3,5.68,1.42
Ronald Bolanos,KC,8,0,0,0,18.1,20,9,12,12,2,0,0,0,0,0,4.42,1.75
Collin Snider,KC,23,0,0,0,18.1,21,13,12,8,2,3,2,0,1,6,6.38,1.58
Gabe Speier,KC,15,1,0,0,18.0,15,5,14,4,2,0,1,0,0,2,2.5,1.06
Amir Garrett,KC,16,0,0,0,13.2,4,7,16,11,0,1,0,0,0,1,4.61,1.1
Kris Bubic,KC,6,5,0,0,13.1,19,19,10,11,5,0,3,0,0,0,12.83,2.25
Jake Brentz,KC,8,0,0,0,5.1,11,14,9,10,1,0,3,0,0,2,23.63,3.94
Jackson Kowar,KC,1,0,0,0,3.1,11,7,4,1,0,0,0,0,0,0,18.9,3.6
Matt Peacock,KC,4,0,0,0,3.0,2,0,3,2,0,0,0,0,0,0,0.0,1.33
Foster Griffin,KC,3,0,0,0,2.2,3,4,0,3,0,0,0,0,0,0,13.5,2.25
Jose Cuas,KC,2,0,0,0,2.0,1,0,2,1,0,0,0,0,0,0,0.0,1.0
Arodys Vizcaino,KC,2,0,0,0,2.0,1,0,1,1,0,0,0,0,0,0,0.0,1.0
