Player,Team,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Joe Ryan,MIN,8,8,0,0,43.1,29,11,42,14,3,5,2,0,0,0,2.28,0.99
Dylan Bundy,MIN,8,8,0,0,39.2,44,21,34,8,6,3,2,0,0,0,4.76,1.31
Chris Archer,MIN,10,10,0,0,39.1,36,17,32,17,6,0,2,0,0,0,3.89,1.35
Sonny Gray,MIN,7,7,0,0,33.2,23,9,39,10,3,3,1,0,0,0,2.41,0.98
Bailey Ober,MIN,7,7,0,0,33.2,36,15,29,7,2,1,2,0,0,0,4.01,1.28
Josh Winder,MIN,7,3,0,0,29.1,27,12,23,9,4,2,2,0,0,0,3.68,1.23
Griffin Jax,MIN,16,0,0,0,25.1,23,9,27,10,3,3,0,1,0,4,3.2,1.3
Jhoan Duran,MIN,18,0,0,0,24.1,14,6,35,4,4,0,1,4,0,6,2.22,0.74
Devin Smeltzer,MIN,4,4,0,0,24.0,16,4,12,4,0,2,0,0,0,0,1.5,0.83
Chris Paddack,MIN,5,5,0,0,22.1,25,10,20,2,0,1,2,0,0,0,4.03,1.21
Tyler Duffey,MIN,20,0,0,0,20.1,21,10,19,5,3,2,3,1,3,7,4.43,1.28
Caleb Thielbar,MIN,22,0,0,0,19.1,16,12,23,10,2,1,0,0,0,5,5.59,1.34
Emilio Pagan,MIN,18,0,0,0,18.0,15,6,22,11,5,1,2,7,3,1,3.0,1.44
Joe Smith,MIN,21,0,0,0,17.0,16,3,11,4,1,1,1,0,1,10,1.59,1.18
Cody Stashak,MIN,11,0,0,0,16.1,16,7,15,0,1,3,0,0,0,1,3.86,0.98
Danny Coulombe,MIN,10,0,0,0,12.1,7,2,9,9,0,0,0,0,0,0,1.46,1.3
Jharel Cotton,MIN,5,0,0,0,8.2,5,1,9,6,0,1,1,0,0,0,1.04,1.27
Trevor Megill,MIN,5,0,0,0,8.2,5,1,12,3,1,1,1,0,0,0,1.04,0.92
Cole Sands,MIN,3,1,0,0,8.0,9,7,10,4,2,0,1,0,0,0,7.88,1.63
Yennier Cano,MIN,6,0,0,0,7.1,12,11,7,4,2,1,0,0,0,0,13.5,2.18
Jovani Moran,MIN,5,0,0,0,6.1,2,0,12,3,0,0,0,0,0,0,0.0,0.79
Jhon Romero,MIN,4,0,0,0,5.0,9,2,6,1,0,0,0,0,0,0,3.6,2.0
Juan Minaya,MIN,2,0,0,0,4.1,2,2,3,1,0,0,0,0,0,0,4.15,0.69
Dereck Rodriguez,MIN,1,0,0,0,4.0,4,3,2,3,3,0,0,0,0,0,6.75,1.75
Chi Chi Gonzalez,MIN,1,1,0,0,3.0,4,3,1,0,2,0,0,0,0,0,9.0,1.33
Jorge Alcala,MIN,2,0,0,0,2.1,2,0,2,2,0,0,0,0,0,0,0.0,1.71
