,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score
Deni Avdija,25:48,5.0,11.0,45.5,1.0,4.0,25.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0,0.0,4.0,2.0,11.0,-20.0,04/08/2022,New York Knicks,21.0
Rui Hachimura,28:14,8.0,14.0,57.1,3.0,5.0,60.0,2.0,4.0,50.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,21.0,-14.0,04/08/2022,New York Knicks,29.75
Daniel Gafford,19:41,4.0,4.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,9.0,-16.0,04/08/2022,New York Knicks,13.5
Corey Kispert,25:37,2.0,5.0,40.0,2.0,5.0,40.0,2.0,2.0,100.0,0.0,6.0,6.0,1.0,1.0,0.0,0.0,1.0,8.0,-16.0,04/08/2022,New York Knicks,20.0
Tomas Satoransky,20:11,2.0,6.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,3.0,1.0,4.0,-19.0,04/08/2022,New York Knicks,17.0
Isaiah Todd,15:47,2.0,6.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,-8.0,04/08/2022,New York Knicks,4.75
Anthony Gill,15:57,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,2.0,4.0,-8.0,04/08/2022,New York Knicks,10.0
Thomas Bryant,25:32,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,04/08/2022,New York Knicks,18.0
Ish Smith,15:49,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0,7.0,-3.0,04/08/2022,New York Knicks,15.75
Raul Neto,20:18,5.0,7.0,71.4,1.0,3.0,33.3,3.0,4.0,75.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,14.0,7.0,04/08/2022,New York Knicks,15.25
Vernon Carey Jr.,7:20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-13.0,04/08/2022,New York Knicks,0.5
Jordan Schakel,12:00,1.0,4.0,25.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,04/08/2022,New York Knicks,12.0
Cassius Winston,7:46,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,04/08/2022,New York Knicks,5.75
