,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Mikal Bridges,32:49,4.0,21.0,19.0,1.0,8.0,12.5,6.0,6.0,100.0,2.0,3.0,5.0,2.0,2.0,0.0,2.0,0.0,15.0,-17.0,12/20/2023,New York Knicks,27.75,LAC @ DAL
Cameron Johnson,27:48,8.0,14.0,57.1,4.0,6.0,66.7,0.0,1.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,3.0,20.0,-5.0,12/20/2023,New York Knicks,30.0,LAC @ DAL
Nic Claxton,25:42,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,2.0,0.0,4.0,0.0,5.0,6.0,-21.0,12/20/2023,New York Knicks,27.0,LAC @ DAL
Cam Thomas,31:58,8.0,18.0,44.4,4.0,7.0,57.1,0.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,1.0,2.0,20.0,-25.0,12/20/2023,New York Knicks,31.5,LAC @ DAL
Spencer Dinwiddie,30:33,3.0,11.0,27.3,2.0,8.0,25.0,2.0,2.0,100.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,10.0,-27.0,12/20/2023,New York Knicks,17.5,LAC @ DAL
Day'Ron Sharpe,18:34,3.0,7.0,42.9,0.0,0.0,0.0,3.0,4.0,75.0,9.0,6.0,15.0,3.0,1.0,0.0,1.0,4.0,9.0,6.0,12/20/2023,New York Knicks,33.75,LAC @ DAL
Dorian Finney-Smith,24:15,3.0,8.0,37.5,2.0,6.0,33.3,2.0,2.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,10.0,-9.0,12/20/2023,New York Knicks,14.25,LAC @ DAL
Royce O'Neale,27:53,2.0,11.0,18.2,2.0,10.0,20.0,0.0,0.0,0.0,1.0,5.0,6.0,6.0,1.0,3.0,2.0,2.0,6.0,-10.0,12/20/2023,New York Knicks,30.5,LAC @ DAL
Trendon Watford,10:55,2.0,3.0,66.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,4.0,8.0,12/20/2023,New York Knicks,10.75,LAC @ DAL
Jalen Wilson,5:54,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,-1.0,12/20/2023,New York Knicks,8.25,LAC @ DAL
Harry Giles III,3:39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,12/20/2023,New York Knicks,1.5,LAC @ DAL
