,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Cameron Johnson,32:08,6.0,13.0,46.2,3.0,6.0,50.0,0.0,2.0,0.0,0.0,6.0,6.0,5.0,0.0,1.0,0.0,0.0,15.0,-5.0,01/03/2024,Houston Rockets,33.5,OKC @ BKN
Dorian Finney-Smith,20:04,4.0,16.0,25.0,1.0,11.0,9.1,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,9.0,4.0,01/03/2024,Houston Rockets,16.0,OKC @ BKN
Nic Claxton,27:42,6.0,8.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,13.0,0.0,1.0,2.0,1.0,5.0,12.0,-8.0,01/03/2024,Houston Rockets,33.75,OKC @ BKN
Mikal Bridges,36:20,5.0,18.0,27.8,3.0,12.0,25.0,2.0,3.0,66.7,0.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,15.0,-19.0,01/03/2024,Houston Rockets,29.5,OKC @ BKN
Spencer Dinwiddie,28:06,3.0,5.0,60.0,2.0,3.0,66.7,3.0,5.0,60.0,0.0,1.0,1.0,5.0,2.0,0.0,1.0,1.0,11.0,-16.0,01/03/2024,Houston Rockets,24.25,OKC @ BKN
Royce O'Neale,29:57,5.0,13.0,38.5,2.0,8.0,25.0,1.0,2.0,50.0,1.0,3.0,4.0,3.0,2.0,0.0,1.0,3.0,13.0,-7.0,01/03/2024,Houston Rockets,27.0,OKC @ BKN
Jalen Wilson,5:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,01/03/2024,Houston Rockets,2.0,OKC @ BKN
Day'Ron Sharpe,20:09,4.0,7.0,57.1,0.0,0.0,0.0,3.0,6.0,50.0,4.0,8.0,12.0,1.0,1.0,1.0,1.0,5.0,11.0,-5.0,01/03/2024,Houston Rockets,31.0,OKC @ BKN
Cam Thomas,17:29,0.0,7.0,0.0,0.0,2.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,4.0,-10.0,01/03/2024,Houston Rockets,13.0,OKC @ BKN
Trendon Watford,20:23,3.0,6.0,50.0,2.0,2.0,100.0,3.0,4.0,75.0,4.0,3.0,7.0,1.0,2.0,0.0,0.0,1.0,11.0,9.0,01/03/2024,Houston Rockets,26.25,OKC @ BKN
Armoni Brooks,2:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,01/03/2024,Houston Rockets,1.25,OKC @ BKN
