,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Cameron Johnson,33:30,5.0,11.0,45.5,3.0,8.0,37.5,4.0,5.0,80.0,1.0,5.0,6.0,3.0,1.0,1.0,0.0,3.0,17.0,-3.0,01/07/2024,Portland Trail Blazers,34.5,PHX @ LAC
Dorian Finney-Smith,35:30,3.0,8.0,37.5,3.0,7.0,42.9,0.0,0.0,0.0,2.0,3.0,5.0,2.0,1.0,0.0,1.0,3.0,9.0,5.0,01/07/2024,Portland Trail Blazers,21.25,PHX @ LAC
Nic Claxton,36:15,8.0,8.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,11.0,3.0,2.0,4.0,5.0,5.0,16.0,-2.0,01/07/2024,Portland Trail Blazers,43.75,PHX @ LAC
Mikal Bridges,44:06,15.0,26.0,57.7,4.0,8.0,50.0,8.0,8.0,100.0,0.0,4.0,4.0,3.0,0.0,0.0,3.0,0.0,42.0,-2.0,01/07/2024,Portland Trail Blazers,52.0,PHX @ LAC
Spencer Dinwiddie,27:36,1.0,6.0,16.7,1.0,4.0,25.0,2.0,2.0,100.0,1.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,3.0,01/07/2024,Portland Trail Blazers,16.25,PHX @ LAC
Cam Thomas,17:53,4.0,9.0,44.4,1.0,3.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0,-5.0,01/07/2024,Portland Trail Blazers,12.75,PHX @ LAC
Royce O'Neale,18:08,3.0,5.0,60.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,3.0,8.0,-8.0,01/07/2024,Portland Trail Blazers,15.25,PHX @ LAC
Dennis Smith Jr.,29:19,3.0,8.0,37.5,0.0,1.0,0.0,4.0,4.0,100.0,0.0,2.0,2.0,10.0,2.0,1.0,1.0,6.0,10.0,-19.0,01/07/2024,Portland Trail Blazers,33.0,PHX @ LAC
Day'Ron Sharpe,16:34,4.0,7.0,57.1,0.0,0.0,0.0,3.0,4.0,75.0,3.0,3.0,6.0,2.0,0.0,1.0,0.0,3.0,11.0,-5.0,01/07/2024,Portland Trail Blazers,23.5,PHX @ LAC
Lonnie Walker IV,5:45,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,01/07/2024,Portland Trail Blazers,1.25,PHX @ LAC
Trendon Watford,0:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01/07/2024,Portland Trail Blazers,-0.5,PHX @ LAC
