,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Cameron Johnson,32:07,3.0,15.0,20.0,3.0,10.0,30.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,4.0,9.0,-6.0,01/05/2024,Oklahoma City Thunder,19.25,OKC @ BKN
Dorian Finney-Smith,21:32,3.0,6.0,50.0,3.0,5.0,60.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,4.0,9.0,6.0,01/05/2024,Oklahoma City Thunder,21.25,OKC @ BKN
Nic Claxton,33:55,8.0,11.0,72.7,0.0,0.0,0.0,7.0,10.0,70.0,8.0,5.0,13.0,3.0,1.0,0.0,3.0,1.0,23.0,5.0,01/05/2024,Oklahoma City Thunder,44.25,OKC @ BKN
Mikal Bridges,39:10,5.0,13.0,38.5,0.0,5.0,0.0,7.0,8.0,87.5,1.0,7.0,8.0,3.0,0.0,1.0,4.0,4.0,17.0,5.0,01/05/2024,Oklahoma City Thunder,31.5,OKC @ BKN
Spencer Dinwiddie,33:02,7.0,12.0,58.3,3.0,7.0,42.9,6.0,6.0,100.0,0.0,3.0,3.0,4.0,0.0,1.0,2.0,3.0,23.0,-7.0,01/05/2024,Oklahoma City Thunder,35.25,OKC @ BKN
Cam Thomas,24:21,6.0,14.0,42.9,3.0,5.0,60.0,4.0,5.0,80.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,19.0,6.0,01/05/2024,Oklahoma City Thunder,24.5,OKC @ BKN
Royce O'Neale,16:19,2.0,4.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,5.0,3.0,5.0,16.0,01/05/2024,Oklahoma City Thunder,13.0,OKC @ BKN
Dennis Smith Jr.,24:39,6.0,11.0,54.5,1.0,4.0,25.0,0.0,0.0,0.0,6.0,6.0,12.0,7.0,2.0,0.0,0.0,4.0,13.0,14.0,01/05/2024,Oklahoma City Thunder,43.0,OKC @ BKN
Day'Ron Sharpe,8:59,1.0,3.0,33.3,0.0,0.0,0.0,4.0,4.0,100.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,6.0,-1.0,01/05/2024,Oklahoma City Thunder,13.5,OKC @ BKN
Lonnie Walker IV,5:55,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,01/05/2024,Oklahoma City Thunder,3.25,OKC @ BKN
