,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
01/01/2018,ORL,GSW @ DAL,W,240,98,36,82,43.9,9,25,36.0,17,23,73.9,10,42,52,17,7,10,13,22,3
12/31/2017,BOS,GSW @ DAL,L,240,105,39,95,41.1,11,36,30.6,16,19,84.2,11,34,45,25,5,4,11,19,-3
12/29/2017,MIA,NYK @ NOP,W,240,111,39,79,49.4,11,26,42.3,22,25,88.0,8,46,54,25,8,4,19,23,24
12/27/2017,NOP,NYK @ NOP,L,240,113,41,90,45.6,19,38,50.0,12,14,85.7,10,33,43,26,8,3,17,18,-15
12/26/2017,SAS,CHI @ MIL,L,240,97,39,93,41.9,12,32,37.5,7,9,77.8,12,33,45,23,5,0,13,18,-12
12/23/2017,IND,CHI @ MIL,L,265,119,42,98,42.9,16,36,44.4,19,25,76.0,18,33,51,24,2,2,14,20,-4
12/22/2017,WAS,SAS @ SAC,W,240,119,44,88,50.0,14,41,34.1,17,21,81.0,13,47,60,29,4,4,18,17,35
12/20/2017,SAC,SAS @ SAC,L,240,99,32,82,39.0,15,42,35.7,20,23,87.0,14,24,38,15,5,7,11,19,-5
12/17/2017,IND,MIN @ DEN,L,240,97,34,81,42.0,12,33,36.4,17,21,81.0,7,22,29,26,7,2,12,17,-12
12/15/2017,TOR,POR @ CHA,L,240,87,32,76,42.1,7,23,30.4,16,19,84.2,6,31,37,15,4,1,24,14,-33
12/14/2017,NYK,POR @ CHA,L,240,104,37,83,44.6,12,42,28.6,18,23,78.3,11,32,43,21,10,4,18,21,-7
12/12/2017,WAS,TOR @ PHX,W,240,103,34,84,40.5,10,43,23.3,25,33,75.8,9,44,53,26,4,6,14,21,5
12/09/2017,MIA,MIA @ BKN,L,240,89,33,81,40.7,7,27,25.9,16,19,84.2,8,35,43,16,3,3,14,17,-12
12/07/2017,OKC,MIA @ BKN,W,240,100,35,80,43.8,11,37,29.7,19,30,63.3,7,42,49,24,3,7,16,21,5
12/04/2017,ATL,DEN @ NOP,W,240,110,41,85,48.2,15,36,41.7,13,15,86.7,12,40,52,29,7,6,24,28,20
12/02/2017,ATL,LAL @ DEN,L,240,102,34,82,41.5,17,42,40.5,17,21,81.0,12,34,46,26,1,8,19,18,-12
11/29/2017,DAL,LAL @ DEN,W,240,109,42,90,46.7,11,29,37.9,14,25,56.0,14,38,52,25,5,1,14,21,5
