,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Kevin Gausman, L (7-8)", 4.2,8,5,5,1,6,1,3.30,21,86,56,34,9,13,2,12,6,0,33,,,-0.134, 1.03,-0.07%, 0.91, -0.9,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Trevor Richards, 1.1,3,1,1,0,1,1,5.59,7,21,16,11,2,3,4,2,0,0,,2,2,-0.164, 0.33,-0.09%, 0.29, -1.9,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Jeremy Beasley, 1 ,0,0,0,0,0,0,4.80,3,12,6,4,0,2,0,2,0,0,,0,0,0.007, 0.14, 0.00%, 0.12, 0.5,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
Anthony Banda, 1 ,2,0,0,1,1,0,6.12,5,25,16,12,0,4,1,2,2,0,,0,0,0.005, 0.18, 0.00%, 0.16, 0.5,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
David Phelps, 1 ,0,0,0,0,2,0,2.52,3,11,8,2,0,6,0,1,0,0,,0,0,0.002, 0.02, 0.00%, 0.02, 0.5,73° F, Wind 9mph out to Centerfield, Cloudy, No Precipitation.
