IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
 6 ,6,1,1,0,5,1,3.26,23,97,67,38,13,16,7,11,3,0,61,,,0.270, 1.07, 0.01%, 0.09, 1.8,72° F, Wind 7mph in unknown direction, Cloudy, No Precipitation.
 1 ,0,0,0,0,1,0,2.21,3,8,5,3,0,2,2,0,0,0,,0,0,0.077, 1.04, 0.00%, 0.09, 0.5,72° F, Wind 7mph in unknown direction, Cloudy, No Precipitation.
 1 ,0,0,0,0,1,0,4.70,3,14,11,7,3,1,0,2,0,0,,0,0,0.083, 1.12, 0.00%, 0.09, 0.5,72° F, Wind 7mph in unknown direction, Cloudy, No Precipitation.
 1 ,0,0,0,0,1,0,5.12,3,16,9,4,4,1,1,1,0,0,,0,0,0.084, 1.13, 0.00%, 0.09, 0.5,72° F, Wind 7mph in unknown direction, Cloudy, No Precipitation.
