,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Weather,Precipitation
"Madison Bumgarner, L (5-9)", 5 ,8,5,4,4,3,0,3.83,26,104,67,45,4,18,4,15,10,0,32,,,-0.292, 0.98,-0.03%, 0.15, -2.7,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
Kyle Nelson, 1 ,0,0,0,0,0,0,1.86,3,13,7,6,0,1,0,3,1,0,,0,0,0.027, 0.35, 0.00%, 0.05, 0.5,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
Luke Weaver, 1 ,0,0,0,0,0,0,8.78,3,18,13,11,1,1,1,2,2,0,,0,0,0.021, 0.28, 0.00%, 0.04, 0.5,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
Caleb Smith, 1 ,0,0,0,0,1,0,4.85,3,16,11,9,1,1,0,2,0,0,,0,0,0.013, 0.16, 0.00%, 0.02, 0.5,70° F, Wind 10mph from Left to Right, Cloudy, No Precipitation.
