,IP,H,R,ER,BB,SO,HR,ERA,BF,Pit,Str,Ctct,StS,StL,GB,FB,LD,Unk,GSc,IR,IS,WPA,aLI,cWPA,acLI,RE24,Temp,Wind,Arena
Zac Gallen, 5 ,3,2,1,1,5,0,3.24,19,93,57,32,7,18,4,9,4,0,59,,,0.026, 1.11, 0.00%, 0.23, 0.5,72° F, Wind 1mph in unknown direction, In Dome.
Caleb Smith, 1.1,1,0,0,1,1,0,4.47,6,30,19,12,3,4,1,3,1,0,,0,0,0.041, 1.29, 0.01%, 0.26, 0.3,72° F, Wind 1mph in unknown direction, In Dome.
"Noe Ramirez, W (3-3)", 1.1,1,1,1,0,0,0,5.08,5,15,11,6,0,5,0,5,2,0,,1,0,0.144, 1.39, 0.02%, 0.28, 0.9,72° F, Wind 1mph in unknown direction, In Dome.
"Joe Mantiply, H (12)", 0.1,1,0,0,0,0,0,2.35,2,6,5,3,1,1,2,0,0,0,,1,1,-0.011, 0.99,-0.00%, 0.20, -0.7,72° F, Wind 1mph in unknown direction, In Dome.
"Mark Melancon, S (14)", 1 ,1,0,0,1,1,0,4.67,5,14,9,5,1,3,0,3,1,0,,0,0,0.074, 2.65, 0.01%, 0.54, 0.5,72° F, Wind 1mph in unknown direction, In Dome.
