,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Opponent,Score,Match
Julian Champagnie,15:31,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,9.0,01/07/2024,Cleveland Cavaliers,7.5,PHX @ LAC
Jeremy Sochan,27:50,4.0,9.0,44.4,2.0,5.0,40.0,1.0,1.0,100.0,1.0,4.0,5.0,4.0,0.0,0.0,1.0,2.0,11.0,16.0,01/07/2024,Cleveland Cavaliers,23.75,PHX @ LAC
Victor Wembanyama,24:37,6.0,13.0,46.2,2.0,5.0,40.0,10.0,11.0,90.9,0.0,10.0,10.0,3.0,1.0,5.0,3.0,3.0,24.0,17.0,01/07/2024,Cleveland Cavaliers,52.5,PHX @ LAC
Devin Vassell,35:05,9.0,19.0,47.4,4.0,9.0,44.4,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,2.0,22.0,12.0,01/07/2024,Cleveland Cavaliers,37.0,PHX @ LAC
Tre Jones,34:25,7.0,8.0,87.5,2.0,2.0,100.0,2.0,2.0,100.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,1.0,18.0,11.0,01/07/2024,Cleveland Cavaliers,30.5,PHX @ LAC
Dominick Barlow,22:09,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,2.0,1.0,1.0,1.0,3.0,6.0,-17.0,01/07/2024,Cleveland Cavaliers,20.0,PHX @ LAC
Cedi Osman,20:55,4.0,7.0,57.1,1.0,4.0,25.0,0.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,1.0,9.0,-19.0,01/07/2024,Cleveland Cavaliers,20.5,PHX @ LAC
Keldon Johnson,32:58,6.0,16.0,37.5,3.0,6.0,50.0,3.0,4.0,75.0,3.0,1.0,4.0,2.0,1.0,0.0,0.0,3.0,18.0,-12.0,01/07/2024,Cleveland Cavaliers,29.5,PHX @ LAC
Malaki Branham,15:00,1.0,5.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,-20.0,01/07/2024,Cleveland Cavaliers,5.75,PHX @ LAC
Blake Wesley,11:30,1.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,-7.0,01/07/2024,Cleveland Cavaliers,4.5,PHX @ LAC
