,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Jurickson Profar LF,4,0,2,1,0,1,4,.242,.343,.394,.737,15,9,0.203, 1.35,0.244,-0.041%, 0.10%, 1.16, 1.1,1,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Jake Cronenworth 2B-1B,4,1,1,0,0,0,4,.235,.336,.385,.721,10,7,-0.020, 1.56,0.094,-0.114%,-0.01%, 1.34, -0.3,2,2,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Manny Machado DH-3B,2,1,0,0,2,0,4,.299,.374,.506,.880,27,16,0.013, 1.07,0.081,-0.068%, 0.01%, 0.92, 0.1,0,0,GDP,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Luke Voit 1B,2,0,0,1,1,1,4,.222,.314,.408,.722,23,12,-0.044, 1.21,0.014,-0.058%,-0.02%, 1.04, -0.5,5,1,SF,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
   Taylor Rogers P,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Austin Nola C,3,0,0,0,1,1,4,.244,.313,.312,.626,15,8,-0.057, 1.11,0.015,-0.071%,-0.03%, 0.96, -0.5,13,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Ha-Seong Kim SS,4,1,1,1,0,2,4,.239,.322,.352,.674,15,12,0.142, 1.25,0.177,-0.036%, 0.07%, 1.08, 1.0,0,4,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Esteury Ruiz RF,2,0,0,0,0,0,2,.231,.231,.346,.577,5,3,-0.070, 1.36,0.000,-0.070%,-0.04%, 1.18, -0.7,0,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
   Nomar Mazara PH-RF,2,0,0,0,0,1,2,.288,.343,.386,.729,5,4,-0.073, 1.54,0.000,-0.073%,-0.04%, 1.33, -0.6,0,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Trent Grisham CF,4,0,1,0,0,0,4,.189,.288,.333,.621,15,8,0.004, 1.05,0.058,-0.055%, 0.00%, 0.91, -0.2,2,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Matthew Batten 3B-2B,4,0,0,0,0,1,4,.143,.250,.214,.464,13,8,-0.112, 1.19,0.000,-0.112%,-0.06%, 1.02, -0.8,2,1,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
,,,,,,,,,,,,,,,,,,,,,,,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
Yu Darvish P,,,,,,,,,,,,,,,,,,,,,1,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
   Luis Garcia P,,,,,,,,,,,,,,,,,,,,,0,0,,73° F, Wind 6mph in from Centerfield, Overcast, Rain.
