,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Ha-Seong Kim SS,4,1,1,1,0,0,5,.239,.329,.364,.693,21,12,0.005, 0.95,0.072,-0.067%, 0.00%, 1.00, -0.1,0,2,"2B,SF",96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Jake Cronenworth 2B,3,1,1,2,0,2,4,.243,.338,.398,.735,13,10,0.062, 1.05,0.096,-0.034%, 0.04%, 1.10, 0.5,1,4,SF,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Manny Machado 3B,4,0,2,0,0,0,4,.307,.381,.525,.906,17,12,-0.011, 0.81,0.028,-0.039%,-0.01%, 0.85, -0.1,0,1,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Jorge Alfaro C,3,0,2,1,1,1,4,.275,.309,.434,.743,17,11,0.144, 1.07,0.167,-0.023%, 0.09%, 1.13, 1.2,10,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Eric Hosmer 1B,3,0,0,0,1,0,4,.273,.334,.380,.714,21,13,-0.060, 1.46,0.055,-0.115%,-0.04%, 1.54, -0.4,6,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Luke Voit DH,4,0,0,0,0,2,4,.218,.310,.397,.707,13,8,-0.132, 1.17,0.000,-0.132%,-0.08%, 1.23, -1.3,,,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Nomar Mazara RF,4,0,0,0,0,0,4,.314,.368,.429,.797,27,18,-0.156, 1.10,0.000,-0.156%,-0.10%, 1.16, -1.6,4,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Esteury Ruiz LF,4,1,1,0,0,1,4,.333,.333,.583,.917,13,10,0.013, 0.89,0.076,-0.062%, 0.01%, 0.94, 0.4,1,0,"2B,SB",96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Trent Grisham CF,3,2,1,1,1,1,4,.192,.295,.334,.630,17,10,0.111, 0.99,0.142,-0.031%, 0.07%, 1.05, 1.3,2,0,"HR,SB",96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
Blake Snell P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
   Tayler Scott P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
   Nabil Crismatt P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
   Luis Garcia P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
   Tim Hill P,,,,,,,,,,,,,,,,,,,,,0,0,,96° F, Wind 7mph out to Leftfield, Cloudy, No Precipitation.
