,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Deni Avdija,31:08,5.0,12.0,41.7,1.0,5.0,20.0,1.0,1.0,100.0,1.0,4.0,5.0,4.0,1.0,0.0,1.0,2.0,12.0,-11.0,04/10/2022,26.25
Rui Hachimura,32:20,9.0,19.0,47.4,1.0,4.0,25.0,2.0,2.0,100.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,21.0,-2.0,04/10/2022,31.5
Daniel Gafford,27:58,4.0,9.0,44.4,0.0,0.0,0.0,5.0,10.0,50.0,3.0,4.0,7.0,1.0,1.0,2.0,1.0,5.0,13.0,-1.0,04/10/2022,28.75
Corey Kispert,25:37,8.0,12.0,66.7,4.0,8.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,20.0,-5.0,04/10/2022,27.25
Tomas Satoransky,20:16,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,2.0,4.0,6.0,9.0,1.0,0.0,1.0,2.0,5.0,9.0,04/10/2022,28.0
Anthony Gill,19:12,3.0,10.0,30.0,1.0,2.0,50.0,2.0,2.0,100.0,4.0,4.0,8.0,2.0,0.0,0.0,1.0,1.0,9.0,-16.0,04/10/2022,22.0
Ish Smith,17:23,4.0,9.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,8.0,-18.0,04/10/2022,15.5
Isaiah Todd,17:18,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,-15.0,04/10/2022,5.75
Vernon Carey Jr.,18:35,4.0,7.0,57.1,0.0,0.0,0.0,3.0,8.0,37.5,5.0,2.0,7.0,0.0,1.0,1.0,1.0,2.0,11.0,-9.0,04/10/2022,23.25
Raul Neto,22:09,3.0,6.0,50.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,9.0,-8.0,04/10/2022,17.25
Cassius Winston,4:02,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.0,04/10/2022,1.5
Jordan Schakel,4:02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,04/10/2022,1.25
