,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
MJ Melendez RF,4,0,1,0,0,2,4,.228,.310,.422,.732,11,8,-0.017, 0.70,0.039,-0.056%,0%, 0.01, 0.1,1,0,2B,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Whit Merrifield 2B,3,0,0,0,1,1,4,.242,.293,.347,.640,16,10,-0.003, 0.93,0.059,-0.061%,0%, 0.02, -0.4,2,5,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Andrew Benintendi DH,4,0,1,0,0,0,4,.320,.387,.398,.785,15,8,-0.094, 1.16,0.012,-0.106%,-0.00%, 0.03, -0.8,,,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Emmanuel Rivera 3B,4,0,0,0,0,3,4,.232,.280,.394,.674,18,13,-0.105, 1.00,0.000,-0.105%,-0.00%, 0.02, -1.1,0,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Ryan O'Hearn 1B,4,0,3,0,0,1,4,.207,.258,.280,.539,13,9,0.048, 0.65,0.072,-0.024%, 0.00%, 0.01, 0.6,10,1,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Michael A. Taylor CF,4,0,2,0,0,1,4,.279,.350,.402,.752,14,10,-0.042, 1.31,0.049,-0.091%,-0.00%, 0.03, -0.4,1,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Kyle Isbel LF,4,0,0,0,0,0,4,.221,.258,.324,.582,14,9,-0.118, 1.13,0.000,-0.118%,-0.00%, 0.02, -1.4,3,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Cam Gallagher C,3,0,0,0,0,3,3,.214,.267,.333,.600,13,10,-0.070, 0.86,0.000,-0.070%,-0.00%, 0.02, -0.7,8,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
   Nick Pratto PH,1,0,0,0,0,1,1,.233,.333,.433,.767,4,3,-0.006, 0.21,0.000,-0.006%,0%, 0.00, -0.3,,,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Nicky Lopez SS,3,0,0,0,0,1,3,.244,.298,.295,.593,15,9,-0.055, 0.71,0.000,-0.055%,-0.00%, 0.02, -0.5,1,6,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
Brad Keller P,,,,,,,,,,,,,,,,,,,,,0,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
   Dylan Coleman P,,,,,,,,,,,,,,,,,,,,,0,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
   Josh Staumont P,,,,,,,,,,,,,,,,,,,,,1,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
   Jose Cuas P,,,,,,,,,,,,,,,,,,,,,0,0,,81° F, Wind 5mph from Right to Left, Sunny, No Precipitation.
