,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Nicky Lopez 3B,5,0,1,0,0,1,5,.240,.294,.288,.581,19,13,-0.050, 1.70,0.042,-0.092%,-0.00%, 0.08, -0.6,0,1,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Bobby Witt SS,5,0,2,1,0,1,5,.257,.302,.456,.758,27,17,-0.095, 2.18,0.136,-0.230%,-0.00%, 0.10, 0.1,0,3,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Vinnie Pasquantino DH,5,1,2,2,0,1,5,.206,.316,.353,.669,16,11,0.343, 1.82,0.478,-0.136%, 0.01%, 0.08, 0.8,,,"HR,GDP",79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Edward Olivares LF,4,1,1,0,1,2,5,.305,.362,.442,.804,22,9,0.032, 1.15,0.102,-0.071%, 0.00%, 0.05, 0.2,1,0,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
   Sebastian Rivero C,0,0,0,0,0,0,0,.000,.083,.000,.083,,,,,,,,,,0,0,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Ryan O'Hearn RF,4,1,1,1,0,0,4,.184,.232,.263,.495,11,8,0.063, 1.54,0.172,-0.109%, 0.00%, 0.07, 0.7,4,0,3B,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Nate Eaton CF,2,0,0,1,1,1,4,.111,.250,.444,.694,16,5,0.000, 1.10,0.051,-0.051%,0%, 0.05, -0.1,3,0,SF,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Nick Pratto 1B,4,0,0,0,0,1,4,.182,.250,.273,.523,14,11,-0.151, 1.53,0.000,-0.151%,-0.00%, 0.07, -1.0,6,1,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Michael Massey 2B,4,0,2,0,0,0,4,.400,.400,.400,.800,10,6,-0.063, 1.43,0.050,-0.112%,-0.00%, 0.07, -0.1,2,1,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Freddy Fermin C,4,1,0,0,0,2,4,.000,.000,.000,.000,17,11,-0.133, 1.30,0.000,-0.133%,-0.00%, 0.06, -1.0,10,1,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
   Brewer Hicklen PR-LF,0,1,0,0,0,0,0,.000,.000,.000,.000,,,0.000,,0.000,0.000%,0%,, 0.0,0,0,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
Daniel Lynch P,,,,,,,,,,,,,,,,,,,,,1,0,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
   Jose Cuas P,,,,,,,,,,,,,,,,,,,,,0,0,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
   Wyatt Mills P,,,,,,,,,,,,,,,,,,,,,0,0,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
   Taylor Clarke P,,,,,,,,,,,,,,,,,,,,,0,1,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
   Josh Staumont P,,,,,,,,,,,,,,,,,,,,,0,0,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
   Scott Barlow P,,,,,,,,,,,,,,,,,,,,,0,0,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
   Joel Payamps P,,,,,,,,,,,,,,,,,,,,,0,0,,79° F, Wind 9mph from Right to Left, Sunny, No Precipitation.
