AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,0,1,0,0,0,4,.264,.340,.385,.725,6,4,-0.039, 0.75,0.031,-0.070%,-0.00%, 0.03, -0.1,,,2B,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
4,0,0,0,0,1,4,.313,.384,.396,.780,14,9,-0.100, 0.89,0.000,-0.100%,-0.00%, 0.03, -1.1,2,0,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
4,1,2,0,0,0,4,.246,.293,.447,.740,18,12,0.045, 0.89,0.083,-0.038%, 0.00%, 0.04, 0.1,0,6,2·SB,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
4,2,2,2,0,1,4,.182,.321,.341,.662,15,8,0.210, 1.02,0.261,-0.051%, 0.01%, 0.04, 1.2,14,1,HR,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
4,0,2,0,0,0,4,.233,.286,.411,.697,8,5,0.013, 0.69,0.044,-0.031%,0%, 0.03, 0.0,1,2,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
2,0,0,0,0,0,2,.177,.224,.242,.466,4,3,-0.041, 0.74,0.000,-0.041%,-0.00%, 0.03, -0.4,0,0,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
1,0,1,0,1,0,2,.307,.350,.480,.830,8,3,0.045, 0.78,0.058,-0.013%, 0.00%, 0.03, 0.5,1,0,CS,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
4,0,0,0,0,1,4,.209,.241,.318,.559,21,13,-0.105, 0.91,0.000,-0.105%,-0.00%, 0.04, -1.3,0,0,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
3,0,1,0,0,0,3,.243,.300,.378,.678,6,4,0.112, 1.42,0.138,-0.026%, 0.00%, 0.06, 1.2,8,1,2B,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
3,0,0,0,0,1,3,.232,.292,.280,.572,16,10,-0.096, 1.19,0.000,-0.096%,-0.00%, 0.05, -1.4,0,4,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,1,0,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,93° F, Wind 6mph from Left to Right, Sunny, No Precipitation.
