,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Harrison Barnes,13:03,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,04/10/2022,4.75
Trey Lyles,18:24,4.0,10.0,40.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,7.0,7.0,1.0,1.0,0.0,3.0,1.0,9.0,7.0,04/10/2022,19.75
Damian Jones,29:59,8.0,9.0,88.9,1.0,2.0,50.0,2.0,5.0,40.0,1.0,5.0,6.0,3.0,0.0,2.0,1.0,2.0,19.0,-1.0,04/10/2022,35.0
Justin Holiday,31:03,7.0,10.0,70.0,5.0,6.0,83.3,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,4.0,19.0,-5.0,04/10/2022,29.0
Davion Mitchell,39:34,5.0,14.0,35.7,2.0,4.0,50.0,6.0,8.0,75.0,0.0,3.0,3.0,15.0,0.0,2.0,1.0,1.0,18.0,-3.0,04/10/2022,48.75
Donte DiVincenzo,27:08,5.0,11.0,45.5,4.0,7.0,57.1,5.0,7.0,71.4,0.0,4.0,4.0,3.0,1.0,0.0,2.0,4.0,19.0,8.0,04/10/2022,31.5
Chimezie Metu,29:36,2.0,5.0,40.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,7.0,7.0,2.0,4.0,1.0,1.0,0.0,7.0,0.0,04/10/2022,28.75
Neemias Queta,18:01,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,0.0,3.0,6.0,8.0,04/10/2022,17.5
Jeremy Lamb,15:29,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,5.0,2.0,04/10/2022,7.25
Josh Jackson,17:43,3.0,8.0,37.5,0.0,3.0,0.0,6.0,6.0,100.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,12.0,8.0,04/10/2022,14.75
