AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
4,0,0,0,0,1,4,.241,.303,.304,.606,16,10,-0.044, 0.43,0.000,-0.044%,0%, 0.00, -0.7,1,1,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
4,0,0,0,0,3,4,.247,.308,.345,.653,18,13,-0.035, 0.35,0.000,-0.035%,0%, 0.00, -0.6,9,0,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
4,1,1,1,0,0,4,.250,.405,.497,.901,14,8,-0.008, 0.24,0.015,-0.023%,0%, 0.00, 0.6,1,0,HR,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
3,2,1,0,1,0,4,.311,.390,.504,.895,16,8,0.051, 0.40,0.056,-0.005%,0%, 0.00, 0.4,7,1,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
4,1,1,0,0,1,4,.294,.304,.411,.715,12,10,-0.011, 0.79,0.033,-0.043%,0%, 0.00, -0.3,0,2,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
1,0,0,0,1,1,2,.264,.308,.404,.713,9,5,0.019, 1.27,0.048,-0.029%,0%, 0.00, 0.3,0,0,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
2,0,0,0,0,1,2,.221,.275,.376,.652,9,5,-0.020, 0.36,0.000,-0.020%,0%, 0.00, -0.5,0,0,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
3,1,2,1,0,0,3,.239,.268,.360,.629,10,8,0.102, 1.06,0.102,0.000%,0%, 0.00, 1.2,,,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
3,1,1,3,0,0,3,.191,.263,.221,.484,10,8,0.178, 1.26,0.186,-0.008%,0%, 0.00, 1.3,1,3,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
3,1,1,2,0,0,3,.233,.300,.307,.607,9,6,0.107, 0.53,0.135,-0.029%,0%, 0.00, 1.3,7,0,HR,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,1,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
,,,,,,,,,,,,,,,,,,,,1,0,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,1,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
,,,,,,,,,,,,,,,,,,,,0,0,,87° F, Wind 1mph from Right to Left, Overcast, No Precipitation.
