,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Temp,Wind,Weather,Precipitation
Luis Garcia SS,5,0,2,0,0,1,5,.305,.314,.429,.743,14,12,-0.007, 1.20,0.086,-0.093%,0%, 0.00, -0.5,4,2,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
   Victor Robles PR,0,0,0,0,0,0,0,.234,.305,.297,.602,,,0.045, 3.44,0.045,0.000%,0%, 0.01, 0.1,,,SB,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Josh Bell 1B,5,1,2,1,0,1,5,.300,.380,.488,.868,24,14,-0.039, 1.86,0.152,-0.191%,0%, 0.00, 0.6,5,1,HR,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Juan Soto RF,4,1,2,0,0,0,4,.248,.403,.493,.896,14,9,-0.058, 1.22,0.041,-0.098%,0%, 0.00, -0.4,2,0,2B,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Nelson Cruz DH,4,0,1,1,0,0,4,.240,.323,.360,.683,18,11,-0.001, 1.21,0.081,-0.082%,0%, 0.00, 0.3,,,SB,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Yadiel Hernández LF,4,1,1,0,0,2,4,.268,.310,.411,.722,20,15,-0.067, 1.35,0.041,-0.108%,0%, 0.00, -0.4,2,0,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Keibert Ruiz C,3,0,1,0,1,0,4,.259,.319,.361,.680,15,8,0.025, 1.23,0.093,-0.068%,0%, 0.00, 0.4,8,0,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Cesar Hernandez 2B,4,0,1,0,0,2,4,.240,.302,.302,.603,16,11,-0.004, 1.45,0.085,-0.089%,0%, 0.00, 0.2,1,2,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Maikel Franco 3B,4,1,1,2,0,0,4,.234,.264,.359,.623,9,8,0.027, 1.43,0.081,-0.055%,0%, 0.00, 0.6,0,2,HR,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Lane Thomas CF,4,0,0,0,0,1,4,.227,.282,.387,.669,17,15,-0.192, 1.52,0.000,-0.192%,0%, 0.00, -1.3,4,0,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
,,,,,,,,,,,,,,,,,,,,,,,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
Anibal Sanchez P,,,,,,,,,,,,,,,,,,,,,0,0,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
   Andres Machado P,,,,,,,,,,,,,,,,,,,,,1,0,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
   Hunter Harvey P,,,,,,,,,,,,,,,,,,,,,0,0,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
   Tyler Clippard P,,,,,,,,,,,,,,,,,,,,,0,0,,82° F, Wind 8mph from Left to Right, Cloudy, No Precipitation.
