,Opp,Match,Result,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
01/14/2011,CHI,UTA @ WAS,L,240,86,30,92,32.6,7,18,38.9,19,24,79.2,16,37,53,13,4,8,8,19,-13
01/12/2011,DAL,LAC @ GSW,W,240,102,37,83,44.6,8,24,33.3,20,22,90.9,12,34,46,19,8,2,8,18,13
01/11/2011,PHI,LAC @ GSW,W,240,111,46,90,51.1,8,16,50.0,11,11,100,12,28,40,29,6,5,13,21,8
01/08/2011,ATL,SAS @ MIN,L,240,93,34,83,41.0,5,17,29.4,20,23,87.0,11,32,43,17,4,5,15,22,-15
01/07/2011,SAS,NOH @ LAL,L,240,87,33,88,37.5,5,15,33.3,16,21,76.2,12,33,45,17,3,8,13,22,-3
01/02/2011,NYK,SAS @ NYK,L,240,92,37,99,37.4,7,24,29.2,11,19,57.9,21,36,57,19,10,4,14,26,-6
12/31/2010,WAS,SAS @ NYK,W,240,95,38,78,48.7,5,19,26.3,14,18,77.8,11,34,45,19,15,4,23,23,9
12/29/2010,WAS,NJN @ CHI,L,240,90,35,85,41.2,8,21,38.1,12,18,66.7,13,34,47,17,6,7,17,26,-14
12/28/2010,BOS,NJN @ CHI,L,240,83,29,78,37.2,5,17,29.4,20,25,80.0,10,31,41,15,7,1,16,24,-12
12/26/2010,MEM,POR @ DEN,L,240,90,32,90,35.6,7,25,28.0,19,27,70.4,13,41,54,20,9,5,14,24,-14
12/20/2010,NOH,MIA @ PHX,W,240,94,34,80,42.5,11,23,47.8,15,19,78.9,8,31,39,22,8,11,15,23,1
12/19/2010,BOS,MIN @ LAC,L,240,88,34,96,35.4,4,18,22.2,16,18,88.9,16,27,43,17,10,3,13,18,-11
12/17/2010,CLE,MIN @ LAC,W,240,108,38,81,46.9,9,22,40.9,23,31,74.2,7,42,49,20,5,11,18,27,9
12/15/2010,LAL,MEM @ HOU,L,240,94,38,81,46.9,6,21,28.6,12,16,75.0,4,25,29,23,3,6,7,16,-15
12/13/2010,CHI,MEM @ HOU,L,240,73,30,84,35.7,3,19,15.8,10,15,66.7,13,28,41,12,5,5,16,19,-19
12/11/2010,ATL,POR @ MEM,L,240,83,30,81,37.0,8,28,28.6,15,16,93.8,5,31,36,19,9,4,14,24,-14
12/10/2010,CHA,POR @ MEM,W,240,100,38,86,44.2,13,31,41.9,11,18,61.1,8,32,40,25,9,9,15,19,8
12/08/2010,MIL,POR @ PHX,L,240,95,32,74,43.2,9,24,37.5,22,31,71.0,5,32,37,16,5,7,12,27,-2
12/06/2010,TOR,ATL @ ORL,W,240,124,47,85,55.3,13,26,50.0,17,20,85.0,9,38,47,33,10,8,18,15,24
12/03/2010,PHX,ATL @ ORL,L,240,97,37,79,46.8,11,26,42.3,12,16,75.0,9,35,44,24,5,7,25,30,-8
12/01/2010,UTA,NJN @ CHA,L,240,88,30,66,45.5,9,24,37.5,19,25,76.0,7,25,32,19,1,9,18,14,-22
11/30/2010,SAC,NJN @ CHA,W,240,107,36,79,45.6,6,19,31.6,29,34,85.3,6,35,41,22,8,6,13,26,9
11/28/2010,LAL,LAL @ MEM,W,240,95,38,88,43.2,4,23,17.4,15,19,78.9,15,33,48,26,7,6,14,22,3
11/26/2010,OKC,GSW @ MEM,L,265,106,40,91,44.0,8,23,34.8,18,24,75.0,11,38,49,22,6,5,16,28,-4
11/23/2010,CLE,ATL @ NJN,W,240,100,35,80,43.8,12,27,44.4,18,21,85.7,7,37,44,21,7,6,13,21,11
11/22/2010,MIA,ATL @ NJN,W,240,93,37,90,41.1,8,23,34.8,11,13,84.6,12,36,48,26,9,2,13,27,16
11/20/2010,ORL,ATL @ NJN,L,240,86,35,89,39.3,5,27,18.5,11,19,57.9,16,35,51,16,9,5,13,24,-4
11/18/2010,LAC,HOU @ TOR,W,240,107,39,77,50.6,14,26,53.8,15,20,75.0,6,41,47,24,7,14,17,25,27
11/16/2010,ATL,TOR @ WAS,L,240,92,31,70,44.3,4,18,22.2,26,30,86.7,12,30,42,18,5,6,16,24,-10
11/13/2010,CLE,TOR @ WAS,W,240,99,36,79,45.6,10,25,40.0,17,17,100,7,35,42,21,5,7,14,25,14
11/12/2010,HOU,WAS @ CHI,L,240,99,40,89,44.9,9,22,40.9,10,13,76.9,11,30,41,20,4,4,15,22,-3
11/09/2010,DEN,UTA @ MIA,W,240,144,56,87,64.4,16,30,53.3,16,21,76.2,10,35,45,37,7,7,14,20,31
11/05/2010,MIL,CLE @ WAS,L,240,90,29,75,38.7,6,24,25.0,26,30,86.7,4,40,44,11,6,9,19,24,-4
11/03/2010,PHI,CLE @ WAS,L,240,75,28,89,31.5,7,22,31.8,12,17,70.6,11,35,46,19,6,5,13,19,-26
10/30/2010,PHI,CHA @ NJN,W,240,99,37,89,41.6,7,24,29.2,18,25,72.0,16,35,51,18,10,6,18,16,13
10/29/2010,CHA,ORL @ MIA,W,240,104,36,80,45.0,12,29,41.4,20,24,83.3,9,25,34,25,5,11,11,28,3
10/27/2010,SAS,ORL @ MIA,L,240,109,41,77,53.2,8,21,38.1,19,28,67.9,9,27,36,20,9,6,23,26,-13
