,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,Date,Score
Reggie Bullock,37:48,2.0,4.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,-8.0,05/26/2022,15.0
Dorian Finney-Smith,39:24,6.0,10.0,60.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,13.0,-14.0,05/26/2022,27.0
Dwight Powell,7:27,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,-8.0,05/26/2022,5.5
Jalen Brunson,30:09,3.0,10.0,30.0,0.0,2.0,0.0,4.0,6.0,66.7,0.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,10.0,-24.0,05/26/2022,18.5
Luka Doncic,39:38,10.0,28.0,35.7,3.0,13.0,23.1,5.0,7.0,71.4,1.0,8.0,9.0,6.0,1.0,0.0,4.0,3.0,28.0,-12.0,05/26/2022,49.75
Maxi Kleber,26:59,3.0,6.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,7.0,8.0,1.0,1.0,1.0,0.0,2.0,7.0,2.0,05/26/2022,23.0
Frank Ntilikina,14:24,2.0,5.0,40.0,2.0,5.0,40.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,6.0,-3.0,05/26/2022,14.25
Spencer Dinwiddie,32:07,7.0,12.0,58.3,5.0,7.0,71.4,7.0,9.0,77.8,0.0,0.0,0.0,4.0,0.0,2.0,1.0,4.0,26.0,-2.0,05/26/2022,38.0
Davis Bertans,3:57,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,-5.0,05/26/2022,4.75
Trey Burke,2:02,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,05/26/2022,7.0
Josh Green,2:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,05/26/2022,0.0
Marquese Chriss,2:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,05/26/2022,-0.5
Sterling Brown,2:02,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,6.0,05/26/2022,8.25
